RL	// User ID
22-8-2022	// Evaluation date
RewardFB_ER_08_Retention5min	22-8-2022	15:59:05:583	// Source file name and timestamp
100.000	// Sampling rate
35.908	// Data capture period

0.020000	// MOE
0.604000	// BslLeft
0.607000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.115631	-0.769737	0.069377	0.162873	-0.707157	0.103007	0.201585	-0.602611	0.049657	-0.005774	-0.740954	0.067251	-0.065462	-0.686331	0.095475	-0.102590	-0.600793	0.049814	0.001081	-0.553484	0.053055	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.046526	0.013625	0.328202	0.049462	-0.009588	0.324169	
1	0.115669	-0.769737	0.069402	0.162862	-0.707185	0.102974	0.201635	-0.602637	0.049696	-0.005810	-0.740957	0.067285	-0.065407	-0.686321	0.095456	-0.102519	-0.600769	0.049797	0.001155	-0.553472	0.053062	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048662	0.017592	0.327592	0.048851	-0.008672	0.324169	
2	0.115624	-0.769685	0.069465	0.162817	-0.707064	0.102982	0.201522	-0.602568	0.049658	-0.005868	-0.740885	0.067320	-0.065365	-0.686173	0.095447	-0.102434	-0.600560	0.049772	0.001118	-0.553460	0.052963	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048968	0.016982	0.327287	0.049156	-0.008978	0.323559	
3	0.115612	-0.769683	0.069477	0.162857	-0.707006	0.103006	0.201501	-0.602402	0.049640	-0.005841	-0.740897	0.067336	-0.065447	-0.686154	0.095473	-0.102428	-0.600497	0.049742	0.001119	-0.553452	0.052811	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.046831	0.013015	0.328202	0.049156	-0.008978	0.325085	
4	0.115630	-0.769652	0.069507	0.162832	-0.706971	0.102987	0.201393	-0.602331	0.049581	-0.005804	-0.740943	0.067397	-0.065417	-0.686070	0.095458	-0.102453	-0.600469	0.049779	0.001031	-0.553429	0.052786	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.046221	0.010268	0.328507	0.049767	-0.008367	0.324169	
5	0.115613	-0.769656	0.069491	0.162813	-0.706995	0.102990	0.201414	-0.602356	0.049589	-0.005824	-0.740839	0.067331	-0.065449	-0.686133	0.095497	-0.102539	-0.600548	0.049819	0.000993	-0.553409	0.052873	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047747	0.013015	0.326982	0.047631	-0.008062	0.324474	
6	0.115655	-0.769712	0.069432	0.162869	-0.707121	0.103041	0.201399	-0.602538	0.049640	-0.005720	-0.741014	0.067313	-0.065435	-0.686331	0.095503	-0.102569	-0.600767	0.049878	0.001037	-0.553493	0.053043	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048662	0.016677	0.327897	0.049156	-0.009893	0.324474	
7	0.115643	-0.769688	0.069382	0.162896	-0.707212	0.103076	0.201620	-0.602646	0.049719	-0.005772	-0.740943	0.067237	-0.065415	-0.686351	0.095505	-0.102719	-0.600890	0.049912	0.001076	-0.553508	0.053077	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047747	0.016677	0.327897	0.049156	-0.008672	0.324474	
8	0.115653	-0.769725	0.069378	0.162912	-0.707252	0.103096	0.201693	-0.602687	0.049726	-0.005811	-0.740951	0.067256	-0.065386	-0.686367	0.095484	-0.102602	-0.600854	0.049880	0.001115	-0.553501	0.053064	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047442	0.013015	0.327592	0.048851	-0.007757	0.325390	
9	0.115666	-0.769695	0.069443	0.162842	-0.707143	0.103054	0.201545	-0.602577	0.049646	-0.005814	-0.740907	0.067301	-0.065418	-0.686294	0.095478	-0.102453	-0.600653	0.049832	0.001133	-0.553462	0.052926	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047137	0.013015	0.327592	0.049156	-0.008367	0.325390	
10	0.115582	-0.769678	0.069525	0.162784	-0.706985	0.102986	0.201468	-0.602378	0.049590	-0.005879	-0.740854	0.067367	-0.065434	-0.686118	0.095473	-0.102432	-0.600464	0.049760	0.001128	-0.553424	0.052793	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048357	0.015151	0.326982	0.049767	-0.008367	0.324169	
11	0.115635	-0.769658	0.069534	0.162796	-0.706920	0.102955	0.201347	-0.602278	0.049547	-0.005841	-0.740885	0.067411	-0.065396	-0.685958	0.095398	-0.102456	-0.600464	0.049737	0.001034	-0.553372	0.052819	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048052	0.016372	0.326371	0.048546	-0.009283	0.323864	
12	0.115616	-0.769666	0.069484	0.162825	-0.706946	0.102962	0.201439	-0.602323	0.049605	-0.005871	-0.740867	0.067354	-0.065415	-0.686054	0.095412	-0.102497	-0.600523	0.049739	0.001011	-0.553389	0.052848	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048052	0.013320	0.326982	0.047936	-0.007452	0.326000	
13	0.115649	-0.769673	0.069426	0.162861	-0.707074	0.102980	0.201559	-0.602504	0.049659	-0.005737	-0.741014	0.067319	-0.065398	-0.686226	0.095464	-0.102547	-0.600730	0.049854	0.001092	-0.553428	0.052932	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047442	0.013015	0.326676	0.049156	-0.007452	0.325390	
14	0.115684	-0.769721	0.069410	0.162911	-0.707247	0.103104	0.201620	-0.602680	0.049742	-0.005727	-0.741023	0.067272	-0.065406	-0.686402	0.095526	-0.102571	-0.600834	0.049936	0.001132	-0.553518	0.053147	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047137	0.015151	0.326066	0.049767	-0.007757	0.325085	
15	0.115657	-0.769699	0.069405	0.162931	-0.707279	0.103174	0.201639	-0.602705	0.049798	-0.005802	-0.740894	0.067238	-0.065420	-0.686400	0.095591	-0.102625	-0.600936	0.049937	0.001135	-0.553548	0.053160	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048662	0.014541	0.327592	0.048241	-0.007147	0.326610	
16	0.115631	-0.769700	0.069423	0.162911	-0.707215	0.103166	0.201645	-0.602598	0.049749	-0.005818	-0.740942	0.067295	-0.065436	-0.686318	0.095527	-0.102662	-0.600847	0.049923	0.001112	-0.553488	0.053000	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047747	0.013320	0.326676	0.048546	-0.008672	0.326916	
17	0.115562	-0.769651	0.069465	0.162781	-0.707030	0.103041	0.201386	-0.602392	0.049622	-0.005878	-0.740879	0.067334	-0.065427	-0.686125	0.095435	-0.102562	-0.600656	0.049806	0.001092	-0.553433	0.052838	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047137	0.016982	0.326676	0.048546	-0.009893	0.326610	
18	0.115585	-0.769646	0.069511	0.162789	-0.706914	0.102927	0.201399	-0.602310	0.049545	-0.005806	-0.740965	0.067397	-0.065404	-0.686015	0.095360	-0.102445	-0.600441	0.049695	0.001040	-0.553372	0.052728	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048968	0.016067	0.326371	0.048851	-0.008367	0.326916	
19	0.115640	-0.769674	0.069514	0.162781	-0.706883	0.102843	0.201438	-0.602336	0.049542	-0.005801	-0.740918	0.067367	-0.065381	-0.685949	0.095326	-0.102424	-0.600396	0.049673	0.001032	-0.553321	0.052806	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048357	0.012099	0.326066	0.048851	-0.008672	0.326916	
20	0.115658	-0.769697	0.069461	0.162837	-0.707012	0.102912	0.201520	-0.602453	0.049607	-0.005735	-0.741017	0.067345	-0.065403	-0.686109	0.095413	-0.102423	-0.600541	0.049763	0.001110	-0.553399	0.052868	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.045305	0.015151	0.326371	0.048546	-0.008367	0.326305	
21	0.115693	-0.769691	0.069452	0.162869	-0.707155	0.103061	0.201639	-0.602555	0.049714	-0.005773	-0.740946	0.067314	-0.065365	-0.686277	0.095510	-0.102509	-0.600727	0.049863	0.001150	-0.553466	0.052979	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047442	0.015761	0.326371	0.050072	-0.009283	0.326000	
22	0.115669	-0.769695	0.069449	0.162883	-0.707228	0.103153	0.201623	-0.602618	0.049783	-0.005788	-0.740912	0.067287	-0.065445	-0.686337	0.095596	-0.102569	-0.600842	0.049931	0.001133	-0.553493	0.053065	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.050188	0.015761	0.326676	0.048851	-0.008062	0.326000	
23	0.115658	-0.769684	0.069408	0.162898	-0.707250	0.103160	0.201543	-0.602632	0.049740	-0.005817	-0.740944	0.067292	-0.065467	-0.686354	0.095579	-0.102673	-0.600900	0.049920	0.001093	-0.553494	0.053062	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047747	0.014846	0.326066	0.047936	-0.006841	0.326305	
24	0.115584	-0.769661	0.069414	0.162834	-0.707120	0.103077	0.201450	-0.602492	0.049652	-0.005862	-0.740923	0.067294	-0.065518	-0.686259	0.095508	-0.102703	-0.600854	0.049895	0.001054	-0.553497	0.052923	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.046221	0.013320	0.326371	0.049767	-0.006841	0.326305	
25	0.115610	-0.769694	0.069444	0.162819	-0.707019	0.102974	0.201504	-0.602432	0.049582	-0.005815	-0.740930	0.067327	-0.065403	-0.686094	0.095354	-0.102515	-0.600559	0.049746	0.001045	-0.553426	0.052810	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048968	0.012099	0.326371	0.049767	-0.007757	0.326610	
26	0.115629	-0.769684	0.069479	0.162788	-0.706944	0.102924	0.201457	-0.602364	0.049586	-0.005842	-0.740888	0.067349	-0.065407	-0.686013	0.095370	-0.102420	-0.600457	0.049723	0.001103	-0.553371	0.052800	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048357	0.014541	0.326371	0.049767	-0.007757	0.326916	
27	0.115640	-0.769673	0.069548	0.162832	-0.706967	0.103017	0.201514	-0.602373	0.049674	-0.005804	-0.740933	0.067388	-0.065389	-0.686006	0.095414	-0.102408	-0.600428	0.049729	0.001128	-0.553357	0.052877	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.046526	0.017592	0.326066	0.049462	-0.008367	0.326610	
28	0.115627	-0.769688	0.069500	0.162836	-0.707054	0.103044	0.201512	-0.602521	0.049685	-0.005779	-0.740994	0.067373	-0.065381	-0.686120	0.095470	-0.102438	-0.600587	0.049788	0.001156	-0.553447	0.052985	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047747	0.016067	0.326066	0.049767	-0.008978	0.326000	
29	0.115662	-0.769683	0.069452	0.162883	-0.707135	0.103082	0.201565	-0.602581	0.049717	-0.005814	-0.740883	0.067285	-0.065417	-0.686292	0.095534	-0.102519	-0.600719	0.049862	0.001130	-0.553494	0.053021	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048357	0.013015	0.325456	0.049462	-0.006841	0.326305	
30	0.115653	-0.769693	0.069388	0.162873	-0.707191	0.103078	0.201530	-0.602568	0.049674	-0.005766	-0.740977	0.067255	-0.065433	-0.686306	0.095481	-0.102609	-0.600820	0.049897	0.001067	-0.553461	0.052984	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047137	0.014846	0.325761	0.048546	-0.006536	0.327221	
31	0.115698	-0.769711	0.069453	0.162827	-0.707113	0.103021	0.201464	-0.602548	0.049599	-0.005787	-0.740922	0.067258	-0.065480	-0.686338	0.095482	-0.102700	-0.600868	0.049897	0.001007	-0.553483	0.052958	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047442	0.016677	0.324540	0.049156	-0.006841	0.326610	
32	0.115638	-0.769695	0.069492	0.162799	-0.707045	0.103019	0.201459	-0.602439	0.049600	-0.005736	-0.741039	0.067349	-0.065457	-0.686199	0.095476	-0.102541	-0.600664	0.049846	0.001014	-0.553406	0.052901	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.049273	0.013625	0.325456	0.049462	-0.007757	0.326916	
33	0.115621	-0.769674	0.069532	0.162843	-0.706979	0.103028	0.201490	-0.602398	0.049646	-0.005828	-0.740960	0.067403	-0.065411	-0.686134	0.095457	-0.102500	-0.600555	0.049784	0.001092	-0.553359	0.052885	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.047137	0.014846	0.325761	0.048241	-0.007757	0.326305	
34	0.115657	-0.769645	0.069561	0.162857	-0.707019	0.103076	0.201461	-0.602430	0.049662	-0.005834	-0.740889	0.067368	-0.065399	-0.686084	0.095470	-0.102455	-0.600557	0.049778	0.001147	-0.553425	0.052848	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.046526	0.016677	0.325761	0.049156	-0.007452	0.326305	
35	0.115582	-0.769675	0.069512	0.162826	-0.707032	0.103045	0.201507	-0.602527	0.049680	-0.005882	-0.740850	0.067331	-0.065427	-0.686086	0.095454	-0.102448	-0.600527	0.049765	0.001157	-0.553472	0.052906	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.049578	0.015456	0.325456	0.049767	-0.008672	0.326305	
36	0.115646	-0.769680	0.069437	0.162863	-0.707078	0.103038	0.201503	-0.602570	0.049668	-0.005804	-0.740931	0.067267	-0.065416	-0.686202	0.095450	-0.102479	-0.600639	0.049789	0.001149	-0.553496	0.052931	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.048968	0.014236	0.325150	0.049156	-0.007757	0.326305	
