RL	// User ID
1-11-2022	// Evaluation date
VisualFB_ER_20_Retention5min	1-11-2022	14:28:15:223	// Source file name and timestamp
100.000	// Sampling rate
35.368	// Data capture period

0.020000	// MOE
0.616000	// BslLeft
0.633000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.127512	-0.816975	0.074730	0.187795	-0.750684	0.109307	0.219425	-0.628045	0.055456	-0.066782	-0.830096	0.067851	-0.108585	-0.761502	0.108328	-0.139496	-0.626257	0.051961	-0.035726	-0.600356	0.064380	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099751	0.016425	0.438896	0.101736	-0.009568	0.365324	
1	0.127502	-0.816866	0.074599	0.187867	-0.750626	0.109247	0.219084	-0.627885	0.055086	-0.066753	-0.830054	0.067862	-0.108740	-0.761535	0.108106	-0.139486	-0.626121	0.051914	-0.035655	-0.600266	0.064150	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.097004	0.016120	0.437980	0.099294	-0.009874	0.364409	
2	0.127508	-0.816818	0.074604	0.187882	-0.750602	0.109257	0.219084	-0.627832	0.055132	-0.066740	-0.830022	0.067838	-0.108672	-0.761308	0.108007	-0.139556	-0.626079	0.051879	-0.035668	-0.600258	0.064124	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098835	0.015204	0.437370	0.100210	-0.008653	0.364409	
3	0.127524	-0.816854	0.074643	0.187850	-0.750637	0.109263	0.219120	-0.627972	0.055252	-0.066753	-0.830009	0.067841	-0.108770	-0.761604	0.108185	-0.139660	-0.626187	0.051876	-0.035704	-0.600314	0.064208	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.100666	0.014594	0.437980	0.100210	-0.008653	0.365630	
4	0.127521	-0.816967	0.074762	0.187812	-0.750762	0.109363	0.219359	-0.628105	0.055577	-0.066755	-0.830057	0.067872	-0.108776	-0.761784	0.108455	-0.139621	-0.626324	0.052096	-0.035738	-0.600391	0.064414	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.097309	0.015815	0.437370	0.101125	-0.008653	0.363799	
5	0.127539	-0.817038	0.074900	0.187848	-0.750855	0.109509	0.219492	-0.628116	0.055769	-0.066800	-0.830098	0.067904	-0.108614	-0.761633	0.108597	-0.139756	-0.626579	0.052210	-0.035752	-0.600460	0.064669	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.097920	0.015204	0.437370	0.099294	-0.008958	0.365019	
6	0.127558	-0.817033	0.074902	0.187852	-0.750861	0.109537	0.219470	-0.628126	0.055755	-0.066798	-0.830133	0.067910	-0.108795	-0.761953	0.108727	-0.139728	-0.626642	0.052205	-0.035763	-0.600509	0.064684	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099751	0.013983	0.438285	0.101125	-0.009874	0.364409	
7	0.127544	-0.816953	0.074810	0.187841	-0.750774	0.109484	0.219395	-0.628122	0.055606	-0.066799	-0.830110	0.067889	-0.108809	-0.761812	0.108514	-0.139613	-0.626434	0.052122	-0.035751	-0.600446	0.064495	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098530	0.016730	0.438285	0.100210	-0.010484	0.364714	
8	0.127473	-0.816854	0.074659	0.187818	-0.750640	0.109366	0.219110	-0.628008	0.055275	-0.066789	-0.830052	0.067886	-0.108468	-0.761152	0.108057	-0.139496	-0.626206	0.051998	-0.035714	-0.600313	0.064278	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098835	0.017035	0.438896	0.099294	-0.009568	0.364409	
9	0.127469	-0.816843	0.074586	0.187908	-0.750595	0.109265	0.219063	-0.627819	0.055165	-0.066744	-0.830056	0.067870	-0.108578	-0.761197	0.107938	-0.139521	-0.626137	0.051878	-0.035679	-0.600270	0.064164	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099445	0.015815	0.438896	0.099294	-0.006517	0.364104	
10	0.127513	-0.816809	0.074617	0.187930	-0.750607	0.109224	0.219034	-0.627889	0.055147	-0.066751	-0.830075	0.067853	-0.108676	-0.761476	0.108054	-0.139513	-0.626105	0.051903	-0.035668	-0.600279	0.064138	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098225	0.015204	0.438896	0.100515	-0.007432	0.363799	
11	0.127538	-0.816901	0.074715	0.187880	-0.750625	0.109246	0.219274	-0.628032	0.055443	-0.066731	-0.830068	0.067837	-0.108749	-0.761764	0.108339	-0.139504	-0.626184	0.051969	-0.035683	-0.600322	0.064293	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098225	0.016120	0.438590	0.099904	-0.008653	0.364409	
12	0.127527	-0.817039	0.074833	0.187810	-0.750800	0.109373	0.219547	-0.628136	0.055750	-0.066762	-0.830058	0.067855	-0.108770	-0.761921	0.108614	-0.139665	-0.626459	0.052112	-0.035711	-0.600404	0.064566	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099445	0.015204	0.438285	0.099599	-0.009568	0.365019	
13	0.127546	-0.817031	0.074845	0.187788	-0.750902	0.109455	0.219525	-0.628165	0.055725	-0.066770	-0.830067	0.067848	-0.108652	-0.761716	0.108661	-0.139786	-0.626595	0.052234	-0.035779	-0.600503	0.064658	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099140	0.015509	0.437980	0.099599	-0.011094	0.362883	
14	0.127560	-0.816993	0.074800	0.187833	-0.750829	0.109477	0.219403	-0.628165	0.055596	-0.066755	-0.830092	0.067867	-0.108680	-0.761688	0.108529	-0.139670	-0.626509	0.052229	-0.035771	-0.600527	0.064650	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.097920	0.017340	0.438590	0.100210	-0.008348	0.362883	
15	0.127529	-0.816941	0.074653	0.187865	-0.750734	0.109406	0.219127	-0.628132	0.055337	-0.066759	-0.830064	0.067896	-0.108599	-0.761420	0.108280	-0.139641	-0.626387	0.052115	-0.035741	-0.600416	0.064483	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099140	0.016425	0.438590	0.098989	-0.008043	0.364409	
16	0.127487	-0.816916	0.074604	0.187882	-0.750626	0.109274	0.219107	-0.627964	0.055229	-0.066739	-0.830046	0.067867	-0.108517	-0.761180	0.108060	-0.139575	-0.626234	0.051896	-0.035727	-0.600315	0.064196	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.099751	0.014594	0.438590	0.099294	-0.009874	0.364409	
17	0.127482	-0.816872	0.074623	0.187914	-0.750603	0.109202	0.219004	-0.627850	0.055088	-0.066729	-0.830042	0.067840	-0.108503	-0.761141	0.107978	-0.139639	-0.626211	0.051827	-0.035668	-0.600265	0.064187	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098225	0.016120	0.439506	0.099599	-0.011400	0.364409	
18	0.127486	-0.816932	0.074639	0.187887	-0.750628	0.109197	0.219271	-0.627900	0.055314	-0.066746	-0.830052	0.067852	-0.108490	-0.761291	0.108128	-0.139636	-0.626243	0.051925	-0.035644	-0.600283	0.064296	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098225	0.018866	0.439201	0.099599	-0.009568	0.363799	
19	0.127532	-0.817018	0.074746	0.187918	-0.750739	0.109284	0.219618	-0.628027	0.055674	-0.066736	-0.830065	0.067834	-0.108572	-0.761534	0.108385	-0.139636	-0.626380	0.051988	-0.035637	-0.600367	0.064490	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.101582	0.015204	0.439506	0.099904	-0.009263	0.363493	
20	0.127586	-0.816995	0.074785	0.187826	-0.750846	0.109390	0.219575	-0.628111	0.055735	-0.066738	-0.830087	0.067844	-0.108641	-0.761653	0.108547	-0.139572	-0.626382	0.052142	-0.035771	-0.600452	0.064591	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098530	0.013068	0.438896	0.100210	-0.008653	0.363799	
21	0.127558	-0.816991	0.074736	0.187790	-0.750851	0.109483	0.219457	-0.628145	0.055692	-0.066752	-0.830075	0.067910	-0.108683	-0.761533	0.108487	-0.139720	-0.626480	0.052271	-0.035849	-0.600486	0.064588	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.097004	0.015509	0.438896	0.099904	-0.009874	0.364409	
22	0.127489	-0.816915	0.074639	0.187827	-0.750799	0.109457	0.219180	-0.628163	0.055484	-0.066743	-0.830076	0.067905	-0.108660	-0.761378	0.108280	-0.139657	-0.626426	0.052218	-0.035805	-0.600434	0.064425	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.100361	0.017035	0.440116	0.099904	-0.009568	0.364104	
23	0.127496	-0.816882	0.074635	0.187840	-0.750680	0.109349	0.219190	-0.628043	0.055421	-0.066732	-0.830070	0.067912	-0.108579	-0.761292	0.108180	-0.139578	-0.626310	0.052057	-0.035776	-0.600362	0.064324	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.100666	0.016425	0.438896	0.100820	-0.009263	0.363493	
24	0.127529	-0.816873	0.074665	0.187914	-0.750592	0.109274	0.219139	-0.627963	0.055220	-0.066718	-0.830036	0.067886	-0.108493	-0.761246	0.108099	-0.139582	-0.626214	0.051956	-0.035720	-0.600289	0.064243	0.000000	0.616000	0.000000	0.000000	0.636000	0.596000	0.000000	0.000000	-0.098225	0.015815	0.439506	0.099904	-0.009568	0.364409	
