,e1_lrn_diff,e1_lrn_rpe,e1_error_early,e1_error_late,e1_error_interact,e1_success_early,e1_success_late,e1_success_interact,e1_variability_early,e1_variability_late,e1_variability_interact,e1_wsls_early,e1_wsls_late,e1_wsls_interact,e1_washout_imm,e1_washout_early,e1_washout_interact,e2_lrn_diff,e2_lrn_rpe,e2_error_early,e2_error_late,e2_error_interact,e2_success_early,e2_success_late,e2_success_interact,e2_variability_early,e2_variability_late,e2_variability_interact,e2_wsls_early,e2_wsls_late,e2_wsls_interact,e2_retprct_immediate,e2_retprct_24hr,e2_retprct_interact,e2_retacc_immediate,e2_retacc_24hr,e2_retacc_interact
2.5%,-1.987043888836796,8.362948794310999,0.3210452006393876,0.20031653969508056,-0.07158227519771687,-33.067364097160116,-14.724068187993382,-23.637927065521858,-0.01619429674722772,-0.046226098157506224,-0.2693510434021451,-0.08537729806815597,-0.1706246562637208,-0.2458162124739789,-23.833171477456617,-17.42517832679075,-0.2693510434021451,-2.236762343823477,7.820046341347944,0.16872826645970562,-0.10714994295054758,-0.25140044748472823,-43.37322206038789,-18.844076608156342,-35.8019718342276,0.06777416593698926,0.028391217356342757,-0.24416937224891866,-0.0954864331441958,-0.17402551501667451,-0.2619252157526766,-63.32614494779712,-71.40356646364968,-28.47338172965263,-2.942669691947482,-2.0099981582080284,-3.5955990347212867
97.5%,0.01831872052619765,9.953736342054837,2.8391131787352415,0.5853559025955075,2.4671446547988043,-10.229056889133531,-5.1143324262708205,0.8128220797498926,2.564757667751732,0.44153149761827315,2.312091318348351,0.21439000004323217,1.01313783945981,0.9681643623588716,2.841444827947857,-1.9062688065419664,2.312091318348351,-0.042352421968326226,9.655932690501768,3.214580555401485,0.9331649894522056,2.856641040266887,-8.832237679558745,0.227814033895811,2.399087211204886,1.6491171206146578,0.6035071377045838,1.3736245759650951,0.2311020328928972,0.8572587072248616,0.7999741969044727,-24.94336070291881,-20.030149844285248,31.600389850223067,0.19677892840174005,1.6777374772401155,0.8948462825806258
