RL	// User ID
6-7-2022	// Evaluation date
VisualFB_ER_01_Retention5min	6-7-2022	18:12:07:240	// Source file name and timestamp
100.000	// Sampling rate
35.154	// Data capture period

0.020000	// MOE
0.658000	// BslLeft
0.659000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.139771	-0.712801	0.063527	0.203883	-0.659786	0.106820	0.279319	-0.584171	0.053162	-0.071544	-0.717782	0.058858	-0.132305	-0.660226	0.097952	-0.204868	-0.582851	0.047210	-0.111039	-0.508411	0.044011	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.123194	-0.031938	0.346516	0.120319	-0.039095	0.319461	
1	0.139759	-0.712782	0.063522	0.203885	-0.659796	0.106826	0.279341	-0.584192	0.053191	-0.071536	-0.717775	0.058858	-0.132255	-0.660159	0.097931	-0.204866	-0.582837	0.047223	-0.111052	-0.508410	0.044003	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.119532	-0.032243	0.345905	0.122150	-0.036349	0.320377	
2	0.139780	-0.712812	0.063527	0.203898	-0.659794	0.106814	0.279263	-0.584130	0.053197	-0.071557	-0.717776	0.058858	-0.132229	-0.660125	0.097933	-0.204873	-0.582824	0.047182	-0.111037	-0.508421	0.043975	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.119532	-0.038957	0.345905	0.122761	-0.042758	0.318851	
3	0.139802	-0.712832	0.063533	0.203948	-0.659813	0.106836	0.279328	-0.584170	0.053185	-0.071543	-0.717768	0.058855	-0.132239	-0.660108	0.097905	-0.204875	-0.582846	0.047236	-0.111016	-0.508785	0.043742	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.121058	-0.040178	0.345905	0.120014	-0.039706	0.319156	
4	0.139785	-0.712804	0.063550	0.203536	-0.659781	0.106720	0.279322	-0.584136	0.053159	-0.071560	-0.717770	0.058842	-0.132242	-0.660083	0.097899	-0.204874	-0.582797	0.047200	-0.111054	-0.508398	0.043960	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.118006	-0.034685	0.345905	0.121540	-0.034213	0.320377	
5	0.139759	-0.712797	0.063527	0.203913	-0.659810	0.106817	0.279268	-0.584099	0.053162	-0.071546	-0.717789	0.058860	-0.132224	-0.660091	0.097900	-0.204822	-0.582828	0.047182	-0.111045	-0.508408	0.043979	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.122278	-0.033159	0.346516	0.122761	-0.040011	0.318851	
6	0.139770	-0.712800	0.063537	0.203549	-0.659795	0.106737	0.279252	-0.584081	0.053162	-0.071556	-0.717781	0.058858	-0.132314	-0.660184	0.097929	-0.204843	-0.582822	0.047169	-0.111139	-0.508271	0.043911	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.121973	-0.034380	0.345905	0.121235	-0.043063	0.319156	
7	0.139812	-0.712829	0.063539	0.203890	-0.659792	0.106805	0.279357	-0.584153	0.053167	-0.071546	-0.717812	0.058875	-0.132255	-0.660111	0.097902	-0.204848	-0.582835	0.047188	-0.111027	-0.508784	0.043714	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.117701	-0.037126	0.344990	0.117573	-0.040316	0.319461	
8	0.139804	-0.712816	0.063529	0.203916	-0.659797	0.106821	0.279339	-0.584177	0.053164	-0.071593	-0.717759	0.058839	-0.132232	-0.660120	0.097922	-0.204866	-0.582861	0.047219	-0.111008	-0.508798	0.043738	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.120753	-0.037737	0.344684	0.120319	-0.036349	0.320071	
9	0.139793	-0.712816	0.063526	0.203883	-0.659821	0.106801	0.279278	-0.584157	0.053228	-0.071535	-0.717793	0.058859	-0.132233	-0.660124	0.097921	-0.204851	-0.582877	0.047192	-0.111005	-0.508822	0.043750	0.000000	0.658000	0.000000	0.000000	0.678000	0.638000	0.000000	0.000000	-0.121363	-0.035600	0.345905	0.126423	-0.037264	0.319766	
