RL	// User ID
14-12-2022	// Evaluation date
RewardFB_ER_26_Retention5min	14-12-2022	16:05:24:191	// Source file name and timestamp
100.000	// Sampling rate
35.751	// Data capture period

0.020000	// MOE
0.705000	// BslLeft
0.720000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.116802	-0.742628	0.078065	0.176732	-0.698495	0.089130	0.233241	-0.621582	0.050687	-0.109320	-0.735515	0.073038	-0.163149	-0.683012	0.087431	-0.211050	-0.597551	0.043381	-0.123943	-0.543108	0.052791	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.119118	0.000071	0.344279	0.111656	0.008090	0.342857	
1	0.116811	-0.742594	0.078090	0.176729	-0.698509	0.089154	0.233415	-0.621639	0.050918	-0.109177	-0.735689	0.073093	-0.163115	-0.682909	0.087441	-0.211087	-0.597572	0.043443	-0.123922	-0.543165	0.052767	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120338	-0.000844	0.342448	0.112571	0.003817	0.342857	
2	0.116840	-0.742599	0.078179	0.176808	-0.698520	0.089336	0.233590	-0.621598	0.051077	-0.109256	-0.735470	0.073095	-0.163312	-0.683211	0.087564	-0.211118	-0.597569	0.043528	-0.123913	-0.543158	0.052705	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.121864	-0.000844	0.342754	0.107994	0.010226	0.343773	
3	0.116794	-0.742490	0.078212	0.176838	-0.698521	0.089506	0.233647	-0.621505	0.051208	-0.109369	-0.735261	0.073092	-0.163409	-0.683182	0.087645	-0.211157	-0.597460	0.043577	-0.123855	-0.543205	0.052678	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.119118	-0.001149	0.343364	0.110130	0.008090	0.344078	
4	0.116761	-0.742481	0.078213	0.176888	-0.698466	0.089608	0.233535	-0.621396	0.051085	-0.109261	-0.735435	0.073233	-0.163377	-0.683055	0.087639	-0.211146	-0.597375	0.043555	-0.123932	-0.543101	0.052716	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120033	-0.003896	0.343364	0.111656	0.002596	0.343468	
5	0.116778	-0.742518	0.078196	0.176887	-0.698499	0.089587	0.233383	-0.621437	0.051003	-0.109301	-0.735344	0.073178	-0.163449	-0.683198	0.087593	-0.211155	-0.597387	0.043518	-0.123963	-0.543126	0.052694	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120644	-0.001149	0.343364	0.111351	0.008395	0.343773	
6	0.116800	-0.742548	0.078141	0.176795	-0.698463	0.089413	0.233315	-0.621482	0.050881	-0.109317	-0.735410	0.073102	-0.163210	-0.682896	0.087514	-0.211115	-0.597491	0.043432	-0.123961	-0.543152	0.052652	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.119728	-0.000539	0.342448	0.110740	0.010226	0.344994	
7	0.116798	-0.742624	0.078085	0.176694	-0.698542	0.089145	0.233474	-0.621637	0.050908	-0.109326	-0.735556	0.073043	-0.163254	-0.683265	0.087468	-0.211122	-0.597582	0.043392	-0.123919	-0.543187	0.052752	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120644	-0.003896	0.343059	0.112266	0.004427	0.343773	
8	0.116836	-0.742607	0.078066	0.176616	-0.698511	0.088998	0.233374	-0.621639	0.050691	-0.109284	-0.735519	0.072988	-0.163155	-0.683062	0.087429	-0.211099	-0.597637	0.043406	-0.123934	-0.543162	0.052714	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.119423	-0.002065	0.343364	0.110740	0.006869	0.344994	
9	0.116843	-0.742664	0.078122	0.176687	-0.698521	0.089117	0.233604	-0.621629	0.050908	-0.109300	-0.735401	0.072940	-0.163268	-0.683226	0.087473	-0.211108	-0.597605	0.043433	-0.123913	-0.543184	0.052675	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.119118	0.000377	0.343669	0.110130	0.008395	0.344688	
10	0.116825	-0.742599	0.078174	0.176761	-0.698496	0.089316	0.233650	-0.621535	0.051116	-0.109349	-0.735317	0.073027	-0.163378	-0.683285	0.087541	-0.211132	-0.597513	0.043460	-0.123926	-0.543167	0.052666	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.122780	-0.000539	0.342143	0.111656	0.002596	0.344688	
11	0.116791	-0.742532	0.078206	0.176766	-0.698473	0.089485	0.233455	-0.621436	0.051007	-0.109348	-0.735288	0.073133	-0.163352	-0.683072	0.087558	-0.211162	-0.597446	0.043508	-0.123966	-0.543129	0.052638	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120644	-0.001149	0.342143	0.112266	0.006564	0.344383	
12	0.116761	-0.742497	0.078196	0.176813	-0.698427	0.089550	0.233339	-0.621427	0.051044	-0.109343	-0.735297	0.073169	-0.163408	-0.683067	0.087598	-0.211172	-0.597406	0.043492	-0.123961	-0.543118	0.052652	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.118813	-0.004506	0.342754	0.109825	0.007174	0.344078	
13	0.116753	-0.742482	0.078193	0.176817	-0.698420	0.089574	0.233336	-0.621457	0.051024	-0.109314	-0.735332	0.073152	-0.163330	-0.683134	0.087593	-0.211152	-0.597427	0.043456	-0.123951	-0.543082	0.052697	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.121254	-0.004811	0.342143	0.112571	0.003817	0.344688	
14	0.116743	-0.742514	0.078204	0.176745	-0.698406	0.089441	0.233265	-0.621522	0.050941	-0.109342	-0.735322	0.073114	-0.163289	-0.683261	0.087554	-0.211172	-0.597461	0.043406	-0.123994	-0.543149	0.052696	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120338	0.000377	0.342143	0.114097	0.007174	0.345604	
15	0.116761	-0.742567	0.078188	0.176738	-0.698454	0.089283	0.233227	-0.621544	0.050842	-0.109317	-0.735512	0.073108	-0.163388	-0.683422	0.087529	-0.211135	-0.597532	0.043394	-0.123947	-0.543081	0.052797	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120949	-0.000844	0.340923	0.109520	0.007479	0.346214	
16	0.116781	-0.742642	0.078162	0.176678	-0.698429	0.089192	0.233264	-0.621544	0.050730	-0.109206	-0.735822	0.073155	-0.163394	-0.683475	0.087487	-0.211088	-0.597576	0.043439	-0.123911	-0.543144	0.052730	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120644	-0.004811	0.342143	0.111046	0.006869	0.345299	
17	0.116802	-0.742654	0.078185	0.176658	-0.698413	0.089168	0.233337	-0.621465	0.050705	-0.109300	-0.735525	0.073031	-0.163391	-0.683375	0.087413	-0.211124	-0.597573	0.043407	-0.123945	-0.543126	0.052653	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.118202	-0.003896	0.342143	0.115318	0.005953	0.345299	
18	0.116803	-0.742627	0.078207	0.176649	-0.698453	0.089249	0.233362	-0.621443	0.050724	-0.109263	-0.735487	0.073088	-0.163364	-0.683279	0.087481	-0.211131	-0.597552	0.043419	-0.123917	-0.543111	0.052687	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120949	-0.003286	0.342143	0.110130	0.000460	0.344994	
19	0.116812	-0.742564	0.078213	0.176712	-0.698454	0.089407	0.233336	-0.621465	0.050855	-0.109241	-0.735468	0.073136	-0.163511	-0.683480	0.087534	-0.211163	-0.597498	0.043466	-0.123921	-0.543135	0.052643	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.122169	-0.002370	0.342754	0.109520	0.002291	0.345299	
20	0.116760	-0.742467	0.078175	0.176748	-0.698477	0.089482	0.233241	-0.621471	0.050868	-0.109563	-0.734726	0.072904	-0.163238	-0.682905	0.087561	-0.211216	-0.597406	0.043453	-0.123963	-0.543173	0.052643	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.119118	-0.002370	0.342143	0.113487	0.005953	0.344994	
21	0.116732	-0.742478	0.078190	0.176767	-0.698473	0.089520	0.233518	-0.621608	0.051234	-0.109486	-0.735037	0.073048	-0.163050	-0.682646	0.087544	-0.211245	-0.597442	0.043450	-0.124024	-0.543128	0.052667	0.000000	0.705000	0.000000	0.000000	0.725000	0.685000	0.000000	0.000000	-0.120644	-0.006642	0.341838	0.113182	0.007174	0.345604	
