RL	// User ID
1-8-2022	// Evaluation date
RewardFB_ER_05_Retention5min	1-8-2022	11:49:29:273	// Source file name and timestamp
100.000	// Sampling rate
35.468	// Data capture period

0.020000	// MOE
0.645000	// BslLeft
0.643000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.055294	-0.824125	0.076042	0.124988	-0.776360	0.098966	0.181815	-0.666940	0.041417	-0.033990	-0.809783	0.074693	-0.097870	-0.759561	0.098504	-0.154688	-0.648498	0.040612	-0.059757	-0.605352	0.045263	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.055082	0.005984	0.346989	0.048055	-0.010519	0.367030	
1	0.055273	-0.824087	0.075952	0.125033	-0.776371	0.098943	0.181754	-0.666882	0.041250	-0.033961	-0.809785	0.074657	-0.097873	-0.759497	0.098390	-0.154769	-0.648483	0.040554	-0.059863	-0.605343	0.045144	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.052336	0.008730	0.346989	0.048970	-0.007162	0.367030	
2	0.055329	-0.824065	0.075961	0.125061	-0.776376	0.098961	0.181734	-0.666846	0.041120	-0.034001	-0.809782	0.074649	-0.097884	-0.759454	0.098284	-0.154768	-0.648456	0.040469	-0.059894	-0.605327	0.045039	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.053251	0.005984	0.347295	0.049580	-0.005941	0.367030	
3	0.055313	-0.824048	0.076023	0.125070	-0.776371	0.099038	0.181705	-0.666786	0.041158	-0.034037	-0.809754	0.074708	-0.097922	-0.759411	0.098275	-0.154770	-0.648432	0.040498	-0.059923	-0.605337	0.045003	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.054167	0.002932	0.347295	0.049580	-0.009604	0.365809	
4	0.055332	-0.824049	0.076111	0.125036	-0.776310	0.099111	0.181800	-0.666815	0.041332	-0.034026	-0.809754	0.074743	-0.097872	-0.759402	0.098405	-0.154795	-0.648466	0.040635	-0.059863	-0.605301	0.045085	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.052641	0.007509	0.346989	0.048360	-0.008078	0.366420	
5	0.055300	-0.824047	0.076085	0.125064	-0.776310	0.099095	0.181835	-0.666861	0.041426	-0.033980	-0.809742	0.074767	-0.097870	-0.759510	0.098517	-0.154754	-0.648435	0.040605	-0.059786	-0.605346	0.045215	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.052641	0.009646	0.346379	0.048055	-0.008383	0.367335	
6	0.055275	-0.824074	0.076070	0.125012	-0.776316	0.099036	0.181874	-0.666905	0.041473	-0.033995	-0.809770	0.074709	-0.097870	-0.759561	0.098563	-0.154717	-0.648508	0.040664	-0.059788	-0.605386	0.045310	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.054777	0.006899	0.346379	0.048055	-0.007773	0.366114	
7	0.055276	-0.824089	0.076014	0.125029	-0.776331	0.099004	0.181808	-0.666933	0.041428	-0.033988	-0.809733	0.074661	-0.097876	-0.759570	0.098550	-0.154731	-0.648518	0.040600	-0.059818	-0.605378	0.045264	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.053556	0.005984	0.347295	0.048665	-0.008078	0.367640	
8	0.055295	-0.824114	0.076012	0.125060	-0.776372	0.099032	0.181761	-0.666886	0.041320	-0.033970	-0.809786	0.074691	-0.097897	-0.759512	0.098447	-0.154723	-0.648474	0.040546	-0.059850	-0.605354	0.045125	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.051725	0.007204	0.346684	0.048055	-0.008078	0.366420	
9	0.055307	-0.824107	0.076073	0.125021	-0.776356	0.099054	0.181689	-0.666769	0.041217	-0.034008	-0.809766	0.074729	-0.097879	-0.759392	0.098342	-0.154758	-0.648430	0.040506	-0.059882	-0.605328	0.045066	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.054167	0.006289	0.346989	0.048360	-0.008993	0.366725	
10	0.055339	-0.824044	0.076098	0.125030	-0.776313	0.099083	0.181753	-0.666712	0.041191	-0.033977	-0.809748	0.074760	-0.097920	-0.759344	0.098346	-0.154710	-0.648335	0.040464	-0.059948	-0.605319	0.045035	0.000000	0.645000	0.000000	0.000000	0.665000	0.625000	0.000000	0.000000	-0.054167	0.006899	0.346684	0.049886	-0.006552	0.367030	
