RL	// User ID
2-8-2022	// Evaluation date
RewardFB_ER_06_Retention5min	2-8-2022	15:24:12:585	// Source file name and timestamp
100.000	// Sampling rate
34.713	// Data capture period

0.020000	// MOE
0.602000	// BslLeft
0.598000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.161655	-0.746285	0.080700	0.204267	-0.682574	0.099945	0.226902	-0.547348	0.043508	-0.066395	-0.747517	0.079180	-0.111004	-0.685410	0.099281	-0.144610	-0.563638	0.038635	-0.032196	-0.534861	0.055487	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057671	0.007004	0.333300	0.056725	-0.018293	0.333453	
1	0.161679	-0.746303	0.080756	0.204304	-0.682655	0.099948	0.226916	-0.547395	0.043450	-0.066348	-0.747502	0.079201	-0.110984	-0.685372	0.099297	-0.144617	-0.563685	0.038787	-0.032182	-0.534916	0.055493	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057671	0.008835	0.333300	0.056419	-0.017682	0.334369	
2	0.161728	-0.746264	0.080804	0.204329	-0.682630	0.099939	0.226884	-0.547400	0.043422	-0.066345	-0.747484	0.079241	-0.111038	-0.685329	0.099357	-0.144664	-0.563657	0.038851	-0.032204	-0.534907	0.055455	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057366	0.008530	0.334521	0.055809	-0.018903	0.334369	
3	0.161716	-0.746232	0.080888	0.204265	-0.682562	0.099918	0.226859	-0.547361	0.043376	-0.066372	-0.747502	0.079290	-0.111039	-0.685223	0.099373	-0.144657	-0.563527	0.038829	-0.032217	-0.534896	0.055427	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057366	0.009140	0.334216	0.055809	-0.018598	0.334674	
4	0.161690	-0.746264	0.080911	0.204248	-0.682534	0.099920	0.226882	-0.547339	0.043424	-0.066357	-0.747442	0.079285	-0.111018	-0.685225	0.099344	-0.144594	-0.563425	0.038738	-0.032263	-0.534851	0.055473	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.056756	0.009140	0.334826	0.056419	-0.018293	0.334674	
5	0.161685	-0.746264	0.080850	0.204247	-0.682490	0.099919	0.226864	-0.547308	0.043525	-0.066366	-0.747425	0.079289	-0.111049	-0.685278	0.099343	-0.144558	-0.563412	0.038651	-0.032214	-0.534828	0.055530	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057366	0.008530	0.334216	0.056725	-0.018903	0.334674	
6	0.161662	-0.746292	0.080790	0.204235	-0.682512	0.099937	0.226849	-0.547283	0.043574	-0.066396	-0.747475	0.079267	-0.111034	-0.685379	0.099324	-0.144568	-0.563548	0.038618	-0.032198	-0.534829	0.055566	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057366	0.007004	0.334521	0.057030	-0.019208	0.333758	
7	0.161689	-0.746307	0.080746	0.204274	-0.682553	0.099930	0.226890	-0.547362	0.043558	-0.066379	-0.747498	0.079212	-0.110970	-0.685422	0.099268	-0.144601	-0.563697	0.038613	-0.032155	-0.534865	0.055579	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.056756	0.007614	0.334521	0.055504	-0.017988	0.334674	
8	0.161685	-0.746307	0.080724	0.204296	-0.682593	0.099937	0.226865	-0.547367	0.043488	-0.066375	-0.747519	0.079161	-0.110994	-0.685386	0.099245	-0.144668	-0.563754	0.038693	-0.032210	-0.534852	0.055495	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.057366	0.009751	0.333605	0.056114	-0.018598	0.334674	
9	0.161708	-0.746266	0.080737	0.204308	-0.682563	0.099892	0.226864	-0.547369	0.043358	-0.066377	-0.747497	0.079206	-0.110992	-0.685255	0.099243	-0.144625	-0.563604	0.038745	-0.032248	-0.534893	0.055436	0.000000	0.602000	0.000000	0.000000	0.622000	0.582000	0.000000	0.000000	-0.058587	0.008835	0.333911	0.056114	-0.019819	0.334369	
