RL	// User ID
10-8-2022	// Evaluation date
VisualFB_ER_07_Retention5min	10-8-2022	16:48:56:848	// Source file name and timestamp
100.000	// Sampling rate
37.019	// Data capture period

0.020000	// MOE
0.597000	// BslLeft
0.602000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.158211	-0.858387	0.086873	0.209966	-0.812356	0.113508	0.250925	-0.714328	0.044218	-0.059570	-0.784742	0.064866	-0.124654	-0.748677	0.093503	-0.175370	-0.645243	0.045510	-0.083840	-0.603618	0.049373	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.022513	0.005150	0.023902	0.119226	0.009569	0.514531	
1	0.158203	-0.857839	0.088759	0.209992	-0.811243	0.114448	0.251073	-0.713536	0.044605	-0.059539	-0.784791	0.064785	-0.124694	-0.748715	0.093336	-0.175411	-0.645293	0.045414	-0.083795	-0.603632	0.049443	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.020987	0.007286	0.015967	0.121973	0.010790	0.520330	
2	0.158713	-0.856744	0.089815	0.210593	-0.810108	0.115582	0.250908	-0.712248	0.044919	-0.059560	-0.784797	0.064768	-0.124717	-0.748737	0.093250	-0.175393	-0.645380	0.045337	-0.083851	-0.603648	0.049482	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.021598	0.005455	0.007422	0.123499	0.008349	0.524907	
3	0.159623	-0.855146	0.090264	0.211017	-0.808236	0.116072	0.250613	-0.710052	0.045970	-0.059593	-0.784832	0.064820	-0.124749	-0.748712	0.093284	-0.175395	-0.645252	0.045335	-0.083846	-0.603638	0.049429	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.023734	-0.007057	0.002234	0.120142	0.009569	0.525823	
4	0.161018	-0.853308	0.090425	0.211561	-0.805920	0.116759	0.250253	-0.706752	0.047422	-0.059633	-0.784801	0.064928	-0.124774	-0.748711	0.093358	-0.175354	-0.645171	0.045378	-0.083877	-0.603579	0.049487	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.019156	-0.005531	0.004066	0.121362	0.012011	0.525212	
5	0.162557	-0.851033	0.090007	0.212389	-0.803039	0.117070	0.250099	-0.702779	0.048980	-0.059657	-0.784784	0.065027	-0.124812	-0.748708	0.093425	-0.175384	-0.645148	0.045446	-0.083859	-0.603567	0.049514	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.022513	-0.004005	0.002540	0.121057	0.008349	0.521550	
6	0.164068	-0.848191	0.089098	0.213310	-0.799958	0.116831	0.250110	-0.698586	0.049997	-0.059673	-0.784744	0.065020	-0.124839	-0.748748	0.093435	-0.175351	-0.645246	0.045462	-0.083810	-0.603580	0.049518	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.024039	-0.003700	0.003150	0.117090	0.009875	0.515142	
7	0.165491	-0.844763	0.087686	0.214356	-0.796615	0.116224	0.250441	-0.694224	0.050773	-0.059623	-0.784790	0.064884	-0.124854	-0.748827	0.093369	-0.175384	-0.645300	0.045388	-0.083863	-0.603637	0.049522	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.021292	-0.002174	0.004066	0.114954	0.012621	0.508733	
8	0.166746	-0.841020	0.086026	0.215189	-0.792973	0.115403	0.251080	-0.689666	0.051614	-0.059608	-0.784822	0.064833	-0.124859	-0.748882	0.093319	-0.175423	-0.645332	0.045331	-0.083893	-0.603695	0.049529	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.021598	-0.004616	0.002845	0.116785	0.004687	0.503240	
9	0.167853	-0.836785	0.084116	0.216149	-0.789190	0.114466	0.252228	-0.684829	0.052494	-0.059587	-0.784860	0.064848	-0.124859	-0.748920	0.093344	-0.175500	-0.645370	0.045372	-0.083889	-0.603737	0.049582	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.023429	-0.005531	0.002540	0.114038	0.006823	0.498967	
10	0.168669	-0.832235	0.082056	0.216992	-0.785116	0.113508	0.253673	-0.679854	0.053614	-0.059581	-0.784831	0.064900	-0.124830	-0.748858	0.093331	-0.175458	-0.645364	0.045344	-0.083870	-0.603699	0.049614	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.020072	-0.001259	0.002845	0.110681	0.011400	0.496831	
11	0.169347	-0.827342	0.079779	0.217895	-0.781171	0.112612	0.254959	-0.675137	0.054555	-0.059641	-0.784808	0.064963	-0.124833	-0.748781	0.093365	-0.175447	-0.645289	0.045314	-0.083906	-0.603678	0.049580	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.022513	-0.001869	0.002234	0.113428	0.005907	0.495916	
12	0.169985	-0.822351	0.077609	0.218047	-0.777100	0.111272	0.256938	-0.669976	0.055661	-0.059625	-0.784758	0.064985	-0.124792	-0.748708	0.093372	-0.175416	-0.645243	0.045355	-0.083878	-0.603573	0.049476	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.023123	-0.004921	0.002845	0.113123	0.004992	0.496221	
13	0.170343	-0.817372	0.075391	0.219037	-0.772894	0.110135	0.258565	-0.665501	0.056285	-0.059545	-0.784762	0.064949	-0.124691	-0.748787	0.093428	-0.175407	-0.645324	0.045367	-0.083890	-0.603540	0.049358	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.020682	-0.001564	0.003150	0.107935	0.009569	0.499578	
14	0.170415	-0.812120	0.073207	0.219166	-0.768726	0.108911	0.260771	-0.660910	0.057366	-0.059524	-0.784710	0.064903	-0.124608	-0.748736	0.093445	-0.175402	-0.645336	0.045383	-0.083804	-0.603544	0.049269	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.023123	-0.004005	0.001929	0.108850	0.010485	0.500188	
15	0.170209	-0.807001	0.071305	0.219548	-0.764631	0.107916	0.262491	-0.656708	0.057852	-0.059435	-0.784955	0.064876	-0.124601	-0.748728	0.093485	-0.175407	-0.645258	0.045328	-0.083811	-0.603562	0.049216	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.023123	-0.004921	0.002845	0.114343	0.008349	0.502324	
16	0.169515	-0.801989	0.069656	0.219510	-0.760705	0.106910	0.263816	-0.652743	0.058015	-0.059453	-0.784977	0.064956	-0.124547	-0.748660	0.093434	-0.175415	-0.645252	0.045364	-0.083818	-0.603546	0.049262	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.020682	-0.003090	0.003455	0.106409	0.008044	0.503850	
17	0.168599	-0.797035	0.068875	0.219013	-0.756696	0.105917	0.264728	-0.649354	0.057247	-0.059463	-0.784858	0.065022	-0.124541	-0.748562	0.093438	-0.175473	-0.645203	0.045307	-0.083800	-0.603519	0.049259	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.022513	-0.003395	0.003150	0.102441	0.011400	0.504460	
18	0.167895	-0.792747	0.068867	0.218566	-0.752812	0.105360	0.265247	-0.646098	0.055750	-0.059502	-0.784799	0.065007	-0.124550	-0.748489	0.093422	-0.175478	-0.645214	0.045242	-0.083766	-0.603500	0.049246	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.023734	-0.001564	0.005591	0.110681	0.013232	0.507512	
19	0.167672	-0.789182	0.069606	0.218870	-0.749108	0.105174	0.265629	-0.642900	0.053572	-0.059504	-0.784817	0.064977	-0.124506	-0.748460	0.093339	-0.175473	-0.645232	0.045196	-0.083812	-0.603377	0.049114	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.020072	0.001793	0.008033	0.109155	0.012316	0.506902	
20	0.168105	-0.786724	0.070966	0.219101	-0.745764	0.105112	0.265067	-0.640191	0.050448	-0.059496	-0.784802	0.065006	-0.124468	-0.748481	0.093390	-0.175442	-0.645181	0.045175	-0.083784	-0.603361	0.049001	0.000000	0.597000	0.000000	0.000000	0.617000	0.577000	0.000000	0.000000	-0.016410	0.011864	0.012305	0.103662	0.013232	0.506597	
