RL	// User ID
20-10-2022	// Evaluation date
RewardFB_ER_18_Retention5min	20-10-2022	18:35:22:150	// Source file name and timestamp
100.000	// Sampling rate
40.962	// Data capture period

0.020000	// MOE
0.689000	// BslLeft
0.695000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.144896	-0.836010	0.068337	0.199789	-0.755092	0.101895	0.248167	-0.655921	0.048391	-0.102809	-0.811250	0.067494	-0.141010	-0.731963	0.097030	-0.172329	-0.610303	0.043704	-0.063433	-0.575122	0.054635	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.099250	0.002541	0.358538	0.095008	-0.002486	0.375215	
1	0.144962	-0.835990	0.068265	0.199847	-0.754968	0.101714	0.248205	-0.655857	0.048180	-0.102796	-0.811258	0.067479	-0.140917	-0.731901	0.096914	-0.172285	-0.610189	0.043501	-0.063377	-0.575164	0.054424	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.099861	0.003762	0.361284	0.092262	-0.001876	0.375520	
2	0.144975	-0.835983	0.068317	0.199871	-0.754853	0.101593	0.248163	-0.655744	0.048041	-0.102787	-0.811243	0.067472	-0.140920	-0.731840	0.096908	-0.172217	-0.610048	0.043491	-0.063340	-0.575115	0.054409	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.101081	0.004677	0.358538	0.092872	-0.000045	0.378267	
3	0.144990	-0.835972	0.068352	0.199884	-0.754847	0.101678	0.248198	-0.655763	0.048137	-0.102726	-0.811231	0.067535	-0.140927	-0.731810	0.097041	-0.172231	-0.610035	0.043560	-0.063404	-0.575049	0.054412	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100166	0.004372	0.360063	0.095619	-0.000960	0.375825	
4	0.144948	-0.835935	0.068425	0.199877	-0.754948	0.101898	0.248163	-0.655811	0.048317	-0.102761	-0.811205	0.067616	-0.140937	-0.731812	0.097192	-0.172312	-0.610087	0.043745	-0.063381	-0.575089	0.054530	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.099555	0.004067	0.361284	0.092567	-0.001266	0.374604	
5	0.144937	-0.835912	0.068493	0.199896	-0.755010	0.102112	0.248147	-0.655916	0.048526	-0.102791	-0.811183	0.067686	-0.141077	-0.731894	0.097367	-0.172414	-0.610223	0.043943	-0.063479	-0.575274	0.054681	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100776	0.004067	0.358843	0.092262	-0.000960	0.374604	
6	0.144917	-0.835980	0.068483	0.199825	-0.755055	0.102144	0.248118	-0.655998	0.048674	-0.102814	-0.811208	0.067657	-0.141115	-0.731996	0.097382	-0.172468	-0.610408	0.044038	-0.063502	-0.575358	0.054759	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100166	0.005593	0.360063	0.093788	-0.001266	0.374299	
7	0.144943	-0.835984	0.068438	0.199777	-0.755086	0.102058	0.248171	-0.656050	0.048601	-0.102805	-0.811234	0.067587	-0.141120	-0.732033	0.097299	-0.172452	-0.610481	0.043961	-0.063469	-0.575319	0.054761	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.099861	0.005288	0.359758	0.094398	-0.000655	0.374910	
8	0.144918	-0.835994	0.068322	0.199757	-0.755079	0.101899	0.248161	-0.655986	0.048367	-0.102852	-0.811254	0.067485	-0.141040	-0.732032	0.097110	-0.172368	-0.610327	0.043772	-0.063444	-0.575340	0.054606	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.003762	0.359453	0.092872	-0.000655	0.373994	
9	0.144952	-0.836019	0.068265	0.199808	-0.755062	0.101715	0.248177	-0.655928	0.048157	-0.102788	-0.811265	0.067449	-0.140918	-0.731918	0.096893	-0.172231	-0.610180	0.043578	-0.063406	-0.575091	0.054528	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.003762	0.360674	0.092872	-0.000655	0.374604	
10	0.144963	-0.835974	0.068295	0.199810	-0.754890	0.101569	0.248186	-0.655786	0.048033	-0.102786	-0.811223	0.067441	-0.140911	-0.731864	0.096916	-0.172206	-0.610042	0.043501	-0.063378	-0.575111	0.054404	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.004372	0.360369	0.094703	-0.002181	0.374299	
11	0.144964	-0.835980	0.068367	0.199898	-0.754865	0.101673	0.248186	-0.655737	0.048110	-0.102732	-0.811239	0.067565	-0.140876	-0.731763	0.097048	-0.172219	-0.609983	0.043567	-0.063406	-0.575071	0.054413	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.005593	0.361284	0.092262	-0.000350	0.373689	
12	0.144957	-0.835932	0.068467	0.199930	-0.754941	0.101912	0.248168	-0.655776	0.048328	-0.102743	-0.811195	0.067678	-0.140877	-0.731734	0.097169	-0.172307	-0.610071	0.043729	-0.063401	-0.575151	0.054481	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.005898	0.360979	0.092872	-0.000655	0.374910	
13	0.144926	-0.835908	0.068513	0.199895	-0.754909	0.102110	0.248135	-0.655839	0.048518	-0.102779	-0.811149	0.067701	-0.141029	-0.731823	0.097310	-0.172364	-0.610124	0.043938	-0.063404	-0.575267	0.054653	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.005288	0.361284	0.094703	-0.001876	0.374299	
14	0.144935	-0.835945	0.068439	0.199828	-0.755071	0.102138	0.248125	-0.655981	0.048626	-0.102789	-0.811193	0.067616	-0.141089	-0.732009	0.097356	-0.172436	-0.610413	0.044009	-0.063489	-0.575308	0.054766	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.099250	0.004067	0.361284	0.092872	-0.000655	0.374604	
15	0.144922	-0.836012	0.068374	0.199813	-0.755150	0.102025	0.248183	-0.656044	0.048593	-0.102813	-0.811255	0.067554	-0.141084	-0.732075	0.097287	-0.172442	-0.610504	0.043933	-0.063403	-0.575350	0.054733	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100166	0.003762	0.360674	0.092872	0.000565	0.374299	
16	0.144902	-0.836005	0.068326	0.199816	-0.755102	0.101915	0.248174	-0.656021	0.048393	-0.102819	-0.811234	0.067512	-0.141000	-0.731968	0.097052	-0.172343	-0.610383	0.043765	-0.063458	-0.575305	0.054625	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100471	0.004983	0.361284	0.094398	-0.000960	0.373079	
17	0.144927	-0.836014	0.068320	0.199853	-0.755036	0.101775	0.248197	-0.655910	0.048223	-0.102762	-0.811288	0.067510	-0.140877	-0.731900	0.096955	-0.172267	-0.610182	0.043586	-0.063356	-0.575170	0.054457	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.099861	0.006203	0.359758	0.094703	-0.001876	0.373689	
18	0.144931	-0.835946	0.068359	0.199832	-0.754907	0.101660	0.248157	-0.655789	0.048100	-0.102776	-0.811202	0.067505	-0.141204	-0.732216	0.097417	-0.172259	-0.610015	0.043510	-0.063459	-0.575042	0.054382	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.101386	0.006508	0.361895	0.091651	-0.000045	0.374299	
19	0.145000	-0.835986	0.068390	0.199892	-0.754818	0.101729	0.248221	-0.655733	0.048184	-0.102785	-0.811180	0.067508	-0.141158	-0.732115	0.097463	-0.172280	-0.610076	0.043617	-0.063446	-0.575148	0.054404	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100776	0.004983	0.360674	0.093788	0.001481	0.373994	
20	0.145000	-0.835915	0.068406	0.199897	-0.754916	0.101841	0.248528	-0.655756	0.048590	-0.102764	-0.811180	0.067578	-0.140949	-0.731873	0.097203	-0.172274	-0.610102	0.043710	-0.063334	-0.575129	0.054526	0.000000	0.689000	0.000000	0.000000	0.709000	0.669000	0.000000	0.000000	-0.100166	0.003457	0.360674	0.095619	-0.000045	0.373689	
