RL	// User ID
14-9-2022	// Evaluation date
RewardFB_ER_13_Retention5min	14-9-2022	14:58:47:415	// Source file name and timestamp
100.000	// Sampling rate
37.601	// Data capture period

0.020000	// MOE
0.657000	// BslLeft
0.634000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.132610	-0.837350	0.073706	0.187293	-0.790047	0.105631	0.235554	-0.696268	0.044255	-0.151714	-0.803442	0.066477	-0.185143	-0.743842	0.105180	-0.215837	-0.631793	0.043254	-0.105401	-0.606466	0.046322	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.111146	-0.036662	0.420230	0.113434	0.009518	0.345054	
1	0.132583	-0.837238	0.073737	0.187133	-0.789954	0.105669	0.235680	-0.696136	0.044326	-0.151716	-0.803347	0.066558	-0.185027	-0.743758	0.105277	-0.215825	-0.631773	0.043165	-0.105326	-0.606339	0.046237	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.111756	-0.038798	0.418704	0.112213	0.011349	0.343834	
2	0.132563	-0.837216	0.073558	0.187002	-0.789994	0.105666	0.235726	-0.696259	0.044297	-0.151689	-0.803367	0.066448	-0.185048	-0.743878	0.105263	-0.215937	-0.631894	0.043091	-0.105225	-0.606381	0.046239	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.110230	-0.039714	0.419009	0.112519	0.010128	0.343528	
3	0.132556	-0.837179	0.073352	0.186872	-0.790094	0.105545	0.235716	-0.696448	0.044174	-0.151675	-0.803388	0.066160	-0.185079	-0.743937	0.105128	-0.215967	-0.632064	0.042964	-0.105200	-0.606486	0.046337	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.110536	-0.038798	0.419009	0.113739	0.011044	0.343223	
4	0.132566	-0.837256	0.073319	0.186935	-0.790134	0.105551	0.235644	-0.696633	0.043965	-0.151642	-0.803439	0.066039	-0.184991	-0.743991	0.105114	-0.216002	-0.632169	0.042827	-0.105270	-0.606508	0.046304	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.112672	-0.036052	0.418399	0.113739	0.011349	0.342613	
5	0.132591	-0.837330	0.073521	0.186905	-0.790014	0.105561	0.235703	-0.696644	0.043927	-0.151596	-0.803473	0.066061	-0.184913	-0.743860	0.105145	-0.215837	-0.632174	0.042822	-0.105337	-0.606453	0.046134	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.112061	-0.036967	0.419009	0.113434	0.009213	0.342003	
6	0.132689	-0.837229	0.073734	0.186949	-0.789752	0.105735	0.235636	-0.696516	0.043824	-0.151605	-0.803470	0.066230	-0.184849	-0.743609	0.105182	-0.215745	-0.632042	0.042929	-0.105402	-0.606390	0.046008	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.110841	-0.039409	0.419009	0.113739	0.009823	0.343834	
7	0.132665	-0.837162	0.074059	0.187097	-0.789458	0.105899	0.235531	-0.696315	0.043864	-0.151639	-0.803452	0.066534	-0.184780	-0.743343	0.105303	-0.215919	-0.631895	0.043206	-0.105365	-0.606268	0.046031	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.110230	-0.038798	0.419314	0.114960	0.011044	0.342918	
8	0.132593	-0.836973	0.074298	0.186943	-0.789234	0.106049	0.235669	-0.696121	0.044104	-0.151684	-0.803303	0.066841	-0.184814	-0.743044	0.105498	-0.215995	-0.631818	0.043299	-0.105287	-0.606235	0.046081	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.112977	-0.035746	0.419314	0.115265	0.010739	0.343834	
9	0.132576	-0.836835	0.074392	0.186991	-0.789070	0.106161	0.235815	-0.696069	0.044291	-0.151710	-0.803215	0.066932	-0.184870	-0.742976	0.105709	-0.216098	-0.631675	0.043349	-0.105232	-0.606227	0.046115	0.000000	0.657000	0.000000	0.000000	0.677000	0.637000	0.000000	0.000000	-0.113893	-0.036357	0.419619	0.115265	0.010739	0.345665	
