RL	// User ID
14-11-2022	// Evaluation date
RewardFB_ER_24_Retention5min	14-11-2022	14:26:46:833	// Source file name and timestamp
100.000	// Sampling rate
35.162	// Data capture period

0.020000	// MOE
0.643000	// BslLeft
0.658000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.130016	-0.741075	0.064990	0.181023	-0.689823	0.092978	0.211670	-0.592395	0.045347	-0.067440	-0.727324	0.064145	-0.113472	-0.670520	0.094077	-0.148016	-0.574617	0.042249	-0.042056	-0.547261	0.041828	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.076333	-0.009277	0.265302	0.076718	-0.005548	0.252675	
1	0.130043	-0.741066	0.065008	0.181047	-0.689789	0.092972	0.211628	-0.592346	0.045330	-0.067366	-0.727245	0.064124	-0.113464	-0.670528	0.094096	-0.147973	-0.574554	0.042205	-0.041985	-0.547228	0.041808	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.076638	-0.009583	0.265607	0.074582	-0.005854	0.250844	
2	0.130023	-0.741061	0.065026	0.181037	-0.689731	0.092906	0.211616	-0.592278	0.045299	-0.067430	-0.727237	0.064127	-0.113424	-0.670406	0.093976	-0.147924	-0.574441	0.042164	-0.042005	-0.547167	0.041749	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.077553	-0.006531	0.264692	0.074277	-0.004938	0.251454	
3	0.130008	-0.741069	0.065036	0.181107	-0.689640	0.092879	0.211645	-0.592192	0.045219	-0.067509	-0.727338	0.064134	-0.113354	-0.670214	0.093780	-0.147880	-0.574348	0.042057	-0.042077	-0.547052	0.041562	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.077248	-0.008057	0.264081	0.074887	-0.006159	0.251149	
4	0.129956	-0.741071	0.064988	0.181095	-0.689615	0.092834	0.211646	-0.592138	0.045127	-0.067543	-0.727296	0.064076	-0.113316	-0.670162	0.093633	-0.147721	-0.574180	0.041942	-0.041919	-0.547015	0.041585	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.077248	-0.009888	0.265302	0.077328	-0.005548	0.250539	
5	0.129976	-0.741081	0.064961	0.181122	-0.689651	0.092828	0.211690	-0.592210	0.045132	-0.067538	-0.727328	0.064042	-0.113315	-0.670199	0.093613	-0.147772	-0.574306	0.041943	-0.041903	-0.547031	0.041628	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.075722	-0.011414	0.263471	0.076108	-0.005854	0.251149	
6	0.130022	-0.741096	0.064924	0.181160	-0.689689	0.092875	0.211677	-0.592267	0.045207	-0.067519	-0.727369	0.064045	-0.113394	-0.670339	0.093720	-0.147947	-0.574547	0.042089	-0.041969	-0.547079	0.041682	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.076943	-0.008972	0.264081	0.073972	-0.008295	0.251149	
7	0.130007	-0.741102	0.064958	0.181017	-0.689810	0.092912	0.211682	-0.592412	0.045238	-0.067451	-0.727344	0.064096	-0.113473	-0.670512	0.093976	-0.147956	-0.574588	0.042153	-0.042033	-0.547262	0.041776	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.077553	-0.003174	0.264081	0.075192	-0.006159	0.251149	
8	0.130018	-0.741083	0.064971	0.181059	-0.689860	0.092973	0.211682	-0.592421	0.045369	-0.067341	-0.727228	0.064082	-0.113478	-0.670621	0.094147	-0.148068	-0.574657	0.042216	-0.041896	-0.547204	0.041904	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.076638	-0.008362	0.264692	0.075497	-0.004938	0.250233	
9	0.130016	-0.741071	0.065022	0.180999	-0.689805	0.093016	0.211569	-0.592364	0.045405	-0.067390	-0.727241	0.064155	-0.113488	-0.670565	0.094167	-0.148078	-0.574640	0.042293	-0.041241	-0.547023	0.042263	0.000000	0.643000	0.000000	0.000000	0.663000	0.623000	0.000000	0.000000	-0.075722	-0.011414	0.264387	0.073972	-0.007074	0.250539	
