RL	// User ID
21-11-2022	// Evaluation date
VisualFB_ER_25_Retention5min	21-11-2022	17:33:12:586	// Source file name and timestamp
100.000	// Sampling rate
37.260	// Data capture period

0.020000	// MOE
0.549000	// BslLeft
0.551000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.104295	-0.728957	0.067648	0.146307	-0.677927	0.088970	0.177586	-0.581900	0.046751	-0.051584	-0.719521	0.066531	-0.096386	-0.673588	0.092263	-0.119725	-0.574333	0.049865	-0.028987	-0.543493	0.055443	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.063210	-0.004413	0.295401	0.063201	-0.003783	0.289461	
1	0.104302	-0.728937	0.067585	0.145832	-0.677943	0.088842	0.177758	-0.581747	0.046732	-0.051617	-0.719528	0.066494	-0.096353	-0.673561	0.092143	-0.119703	-0.574253	0.049770	-0.028872	-0.543289	0.055513	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.062599	-0.005633	0.297538	0.062591	-0.003783	0.289461	
2	0.104299	-0.728965	0.067542	0.145820	-0.677989	0.088769	0.177828	-0.581719	0.046696	-0.051590	-0.719545	0.066421	-0.096305	-0.673468	0.092004	-0.119656	-0.574169	0.049666	-0.029035	-0.543435	0.055147	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.062599	-0.003192	0.298453	0.060455	-0.005309	0.288851	
3	0.104207	-0.728947	0.067527	0.145762	-0.677927	0.088787	0.177794	-0.581685	0.046705	-0.051652	-0.719507	0.066471	-0.096314	-0.673394	0.092048	-0.119634	-0.574129	0.049631	-0.029032	-0.543464	0.055086	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.063210	-0.000750	0.299063	0.062591	-0.003783	0.288851	
4	0.104294	-0.728891	0.067630	0.145799	-0.677935	0.088863	0.177763	-0.581600	0.046772	-0.051609	-0.719528	0.066562	-0.096302	-0.673499	0.092201	-0.119660	-0.574181	0.049771	-0.028906	-0.543285	0.055493	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.063210	-0.002887	0.300589	0.062591	-0.004698	0.289156	
5	0.104307	-0.728901	0.067699	0.146178	-0.677909	0.088993	0.177630	-0.581861	0.046878	-0.051580	-0.719474	0.066628	-0.096313	-0.673514	0.092365	-0.119698	-0.574255	0.049897	-0.028867	-0.543260	0.055652	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.062294	-0.007464	0.301200	0.061065	-0.004088	0.289156	
6	0.104329	-0.728864	0.067738	0.146226	-0.677884	0.089030	0.177629	-0.581880	0.046942	-0.051555	-0.719466	0.066670	-0.096322	-0.673520	0.092420	-0.119699	-0.574273	0.049985	-0.028952	-0.543451	0.055498	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.061379	-0.006244	0.301200	0.060455	-0.003173	0.289461	
7	0.104318	-0.728957	0.067681	0.146272	-0.677931	0.089043	0.177582	-0.581882	0.046824	-0.051556	-0.719524	0.066607	-0.096291	-0.673557	0.092360	-0.119684	-0.574290	0.049909	-0.028980	-0.543513	0.055433	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.062905	-0.001666	0.302420	0.062286	-0.006224	0.289156	
8	0.104312	-0.728918	0.067635	0.145854	-0.677911	0.088888	0.177649	-0.581902	0.046773	-0.051580	-0.719514	0.066556	-0.096313	-0.673566	0.092278	-0.119696	-0.574238	0.049824	-0.028919	-0.543286	0.055577	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.064736	-0.000140	0.302115	0.061370	-0.004698	0.288240	
9	0.104320	-0.728966	0.067582	0.145742	-0.677933	0.088790	0.177753	-0.581728	0.046770	-0.051557	-0.719503	0.066518	-0.096289	-0.673544	0.092178	-0.119670	-0.574169	0.049718	-0.029008	-0.543427	0.055202	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.062599	-0.002887	0.301810	0.060150	-0.003478	0.289461	
10	0.104339	-0.728945	0.067567	0.145795	-0.677970	0.088776	0.177772	-0.581612	0.046666	-0.051588	-0.719510	0.066437	-0.096259	-0.673426	0.092022	-0.119610	-0.574152	0.049670	-0.029024	-0.543439	0.055152	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.061684	-0.005023	0.301200	0.060760	-0.005614	0.289156	
11	0.104286	-0.728934	0.067525	0.145722	-0.677967	0.088748	0.177781	-0.581715	0.046732	-0.051575	-0.719474	0.066459	-0.096290	-0.673426	0.092068	-0.119658	-0.574142	0.049697	-0.029011	-0.543459	0.055193	0.000000	0.549000	0.000000	0.000000	0.569000	0.529000	0.000000	0.000000	-0.062905	-0.006244	0.300894	0.061981	-0.004393	0.288851	
