RL	// User ID
26-9-2022	// Evaluation date
RewardFB_ER_15_Retention5min	26-9-2022	09:03:46:226	// Source file name and timestamp
100.000	// Sampling rate
38.596	// Data capture period

0.020000	// MOE
0.685000	// BslLeft
0.655000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.164821	-0.787553	0.085805	0.234213	-0.743039	0.114419	0.300689	-0.660241	0.056655	-0.101360	-0.762087	0.078418	-0.151962	-0.698943	0.119690	-0.193213	-0.605496	0.055766	-0.099478	-0.549548	0.055212	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.123321	-0.002769	0.376435	0.110641	0.023195	0.324847	
1	0.164808	-0.787500	0.085880	0.234372	-0.742979	0.114523	0.300688	-0.660215	0.056715	-0.101085	-0.762337	0.078629	-0.151983	-0.698957	0.119751	-0.193194	-0.605407	0.055821	-0.099535	-0.549542	0.055141	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.124237	-0.004905	0.375519	0.110336	0.021364	0.323016	
2	0.164836	-0.787545	0.085893	0.234440	-0.742942	0.114548	0.300677	-0.660244	0.056771	-0.101078	-0.762314	0.078651	-0.151960	-0.699011	0.119772	-0.193222	-0.605418	0.055903	-0.099530	-0.549580	0.055172	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.121795	-0.003989	0.374909	0.111252	0.024721	0.323322	
3	0.164793	-0.787567	0.085883	0.234646	-0.743009	0.114572	0.300684	-0.660228	0.056743	-0.101101	-0.762334	0.078609	-0.151966	-0.699032	0.119769	-0.193234	-0.605475	0.055883	-0.099528	-0.549557	0.055213	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.122101	-0.004294	0.374604	0.111252	0.022890	0.323627	
4	0.164821	-0.787619	0.085866	0.234407	-0.743046	0.114428	0.300674	-0.660245	0.056689	-0.101093	-0.762423	0.078577	-0.151937	-0.699104	0.119692	-0.193231	-0.605597	0.055816	-0.099480	-0.549530	0.055294	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.123626	-0.006431	0.374604	0.111557	0.020754	0.323932	
5	0.164817	-0.787653	0.085829	0.234098	-0.743074	0.114311	0.300690	-0.660279	0.056613	-0.101109	-0.762474	0.078514	-0.151929	-0.699133	0.119641	-0.193208	-0.605667	0.055762	-0.099450	-0.549563	0.055289	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.123321	-0.003989	0.375214	0.111252	0.022585	0.324542	
6	0.164816	-0.787672	0.085787	0.234265	-0.743122	0.114309	0.300702	-0.660261	0.056581	-0.101379	-0.762169	0.078280	-0.151936	-0.699102	0.119617	-0.193178	-0.605585	0.055671	-0.099474	-0.549546	0.055212	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.121795	-0.004294	0.374909	0.110031	0.021669	0.324237	
7	0.164835	-0.787661	0.085759	0.234318	-0.743137	0.114316	0.300746	-0.660243	0.056582	-0.101117	-0.762515	0.078464	-0.151922	-0.699034	0.119575	-0.193165	-0.605586	0.055667	-0.099554	-0.549483	0.055141	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.123321	-0.005210	0.373993	0.110031	0.021669	0.324847	
8	0.164772	-0.787533	0.085750	0.234396	-0.743088	0.114391	0.300664	-0.660240	0.056588	-0.101358	-0.762113	0.078340	-0.151943	-0.699013	0.119529	-0.193208	-0.605460	0.055680	-0.099554	-0.549543	0.055067	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.124237	-0.004294	0.373688	0.112167	0.022890	0.324847	
9	0.164809	-0.787537	0.085818	0.234568	-0.743089	0.114496	0.300664	-0.660202	0.056651	-0.101317	-0.762074	0.078424	-0.151936	-0.698957	0.119599	-0.193223	-0.605396	0.055758	-0.099609	-0.549531	0.055031	0.000000	0.685000	0.000000	0.000000	0.705000	0.665000	0.000000	0.000000	-0.122101	-0.004600	0.373688	0.110031	0.021059	0.325153	
