RL	// User ID
7-9-2022	// Evaluation date
RewardFB_ER_10_Retention5min	7-9-2022	11:10:37:090	// Source file name and timestamp
100.000	// Sampling rate
38.839	// Data capture period

0.020000	// MOE
0.612000	// BslLeft
0.625000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.164604	-0.936502	0.081460	0.210322	-0.877054	0.094142	0.231133	-0.774914	0.046479	-0.080406	-0.934992	0.081234	-0.131014	-0.877227	0.092188	-0.167541	-0.777981	0.042955	-0.058260	-0.748573	0.049100	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111711	0.013452	0.397504	0.105739	0.006491	0.356709	
1	0.164645	-0.936460	0.081610	0.210287	-0.877122	0.094300	0.231138	-0.774945	0.046618	-0.080382	-0.934866	0.081348	-0.131140	-0.877224	0.092428	-0.167546	-0.777905	0.043168	-0.058291	-0.748630	0.049239	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.109574	0.014062	0.397504	0.106349	0.008628	0.357014	
2	0.164609	-0.936421	0.081633	0.210256	-0.877173	0.094402	0.231236	-0.774898	0.046802	-0.080385	-0.934839	0.081399	-0.131252	-0.877390	0.092612	-0.167571	-0.777971	0.043334	-0.058280	-0.748698	0.049412	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.107743	0.018640	0.399030	0.105434	0.008322	0.357014	
3	0.164600	-0.936456	0.081520	0.210295	-0.877176	0.094457	0.231452	-0.774781	0.046987	-0.080340	-0.934887	0.081243	-0.131272	-0.877636	0.092683	-0.167543	-0.778092	0.043313	-0.058248	-0.748784	0.049502	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113847	0.018335	0.400555	0.105434	0.008322	0.357930	
4	0.164675	-0.936545	0.081380	0.210331	-0.877171	0.094405	0.231474	-0.774834	0.046961	-0.080287	-0.934967	0.081053	-0.131206	-0.877762	0.092547	-0.167530	-0.778221	0.043212	-0.058240	-0.748759	0.049487	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112016	0.018640	0.402081	0.105434	0.008933	0.358540	
5	0.164641	-0.936570	0.081295	0.210254	-0.877121	0.094250	0.231475	-0.774752	0.046830	-0.080309	-0.935028	0.080950	-0.131100	-0.877723	0.092330	-0.167521	-0.778216	0.043010	-0.058227	-0.748676	0.049367	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.108659	0.016504	0.403302	0.105739	0.009238	0.359456	
6	0.164609	-0.936564	0.081290	0.210445	-0.877032	0.094152	0.231334	-0.774767	0.046600	-0.080324	-0.935016	0.080973	-0.131013	-0.877476	0.092171	-0.167471	-0.778051	0.042865	-0.058244	-0.748569	0.049204	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112931	0.014062	0.404523	0.106655	0.011374	0.359761	
7	0.164619	-0.936530	0.081388	0.210543	-0.876990	0.094128	0.231127	-0.774887	0.046453	-0.080347	-0.934977	0.081129	-0.130978	-0.877198	0.092109	-0.167533	-0.777917	0.042862	-0.058276	-0.748498	0.049131	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112626	0.018030	0.404828	0.106044	0.010459	0.358845	
8	0.164642	-0.936502	0.081545	0.210259	-0.877022	0.094179	0.231145	-0.774853	0.046511	-0.080386	-0.934926	0.081274	-0.131013	-0.877148	0.092229	-0.167559	-0.777943	0.043020	-0.058295	-0.748507	0.049139	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111100	0.020776	0.405743	0.106044	0.008933	0.358540	
9	0.164598	-0.936446	0.081605	0.210306	-0.877104	0.094336	0.231144	-0.774907	0.046610	-0.080374	-0.934905	0.081322	-0.131094	-0.877195	0.092412	-0.167540	-0.777985	0.043203	-0.058256	-0.748620	0.049308	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113236	0.016809	0.404828	0.106349	0.010459	0.357930	
10	0.164612	-0.936432	0.081553	0.210307	-0.877154	0.094414	0.231333	-0.774884	0.046811	-0.080347	-0.934937	0.081298	-0.131219	-0.877519	0.092601	-0.167551	-0.778070	0.043278	-0.058180	-0.748740	0.049466	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112016	0.015283	0.406049	0.107875	0.010154	0.357625	
11	0.164666	-0.936510	0.081473	0.210354	-0.877203	0.094435	0.231529	-0.774819	0.046965	-0.080354	-0.934980	0.081179	-0.131239	-0.877794	0.092641	-0.167570	-0.778225	0.043288	-0.058168	-0.748809	0.049520	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111711	0.017419	0.405438	0.106960	0.009238	0.355488	
12	0.164611	-0.936541	0.081344	0.210315	-0.877233	0.094360	0.231451	-0.774823	0.046878	-0.080328	-0.935034	0.081005	-0.131223	-0.877763	0.092495	-0.167506	-0.778228	0.043151	-0.058208	-0.748821	0.049474	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113847	0.017419	0.404218	0.106655	0.008933	0.353352	
13	0.164623	-0.936559	0.081277	0.210289	-0.877180	0.094208	0.231330	-0.774854	0.046657	-0.080334	-0.935068	0.080929	-0.131096	-0.877594	0.092228	-0.167458	-0.778167	0.042939	-0.058266	-0.748707	0.049330	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112931	0.018030	0.403912	0.107570	0.008017	0.353352	
14	0.164610	-0.936542	0.081311	0.210269	-0.877104	0.094070	0.231150	-0.774923	0.046466	-0.080351	-0.935059	0.080992	-0.131043	-0.877347	0.092064	-0.167470	-0.777978	0.042858	-0.058276	-0.748579	0.049143	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112321	0.017725	0.403607	0.106349	0.009543	0.352742	
15	0.164608	-0.936490	0.081449	0.210465	-0.876917	0.094187	0.231121	-0.774855	0.046429	-0.080397	-0.935030	0.081154	-0.131011	-0.877158	0.092074	-0.167475	-0.777836	0.042907	-0.058302	-0.748563	0.049091	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112016	0.014062	0.403607	0.106655	0.008628	0.351216	
16	0.164686	-0.936472	0.081587	0.210585	-0.876925	0.094328	0.231252	-0.774754	0.046629	-0.080401	-0.935021	0.081247	-0.130949	-0.877193	0.092233	-0.167506	-0.777920	0.043068	-0.058220	-0.748644	0.049248	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111100	0.014673	0.403912	0.106960	0.006186	0.351521	
17	0.164595	-0.936450	0.081574	0.210299	-0.877090	0.094326	0.231478	-0.774665	0.046907	-0.080413	-0.935017	0.081235	-0.131122	-0.877475	0.092460	-0.167510	-0.778055	0.043203	-0.058158	-0.748752	0.049428	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111711	0.018030	0.403912	0.106349	0.006491	0.350911	
18	0.164577	-0.936479	0.081469	0.210319	-0.877171	0.094403	0.231472	-0.774827	0.047028	-0.080385	-0.935022	0.081103	-0.131267	-0.877783	0.092558	-0.167542	-0.778220	0.043265	-0.058233	-0.748760	0.049595	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111405	0.014673	0.404828	0.107265	0.006186	0.349995	
19	0.164624	-0.936562	0.081302	0.210447	-0.877290	0.094409	0.231477	-0.774862	0.046983	-0.080360	-0.935092	0.080962	-0.131321	-0.877963	0.092536	-0.167516	-0.778271	0.043217	-0.058239	-0.748830	0.049549	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.110795	0.013757	0.404218	0.106655	0.007102	0.349690	
20	0.164624	-0.936580	0.081251	0.210651	-0.877268	0.094395	0.231302	-0.774956	0.046702	-0.080382	-0.935166	0.080902	-0.131278	-0.877771	0.092348	-0.167597	-0.778238	0.043158	-0.058235	-0.748900	0.049412	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.109269	0.016809	0.404523	0.105739	0.005881	0.349995	
21	0.164696	-0.936580	0.081308	0.210462	-0.877202	0.094219	0.231170	-0.775045	0.046481	-0.080372	-0.935157	0.080932	-0.131120	-0.877458	0.092126	-0.167530	-0.778097	0.043024	-0.058257	-0.748828	0.049243	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111405	0.013757	0.404828	0.106655	0.006491	0.350300	
22	0.164639	-0.936531	0.081424	0.210377	-0.877068	0.094155	0.231180	-0.774863	0.046435	-0.080396	-0.935076	0.081048	-0.131014	-0.877175	0.092000	-0.167478	-0.777857	0.042882	-0.058357	-0.748600	0.049071	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111405	0.013452	0.405438	0.107570	0.005881	0.349690	
23	0.164599	-0.936492	0.081527	0.210747	-0.876856	0.094321	0.231127	-0.774771	0.046462	-0.080437	-0.935054	0.081173	-0.130975	-0.877108	0.092051	-0.167521	-0.777815	0.042919	-0.058326	-0.748578	0.049134	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.108964	0.014062	0.405743	0.106349	0.004660	0.351216	
24	0.164661	-0.936512	0.081534	0.210568	-0.876938	0.094272	0.231291	-0.774704	0.046685	-0.080395	-0.935103	0.081147	-0.130977	-0.877356	0.092183	-0.167479	-0.777968	0.043003	-0.058187	-0.748724	0.049300	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112016	0.012842	0.406354	0.106349	0.004050	0.349995	
25	0.164644	-0.936535	0.081413	0.210454	-0.877091	0.094294	0.231507	-0.774734	0.046930	-0.080369	-0.935157	0.081027	-0.131071	-0.877683	0.092372	-0.167481	-0.778149	0.043156	-0.058126	-0.748854	0.049497	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113236	0.012231	0.406659	0.106960	0.005881	0.350911	
26	0.164658	-0.936598	0.081296	0.210686	-0.877211	0.094401	0.231489	-0.774864	0.046968	-0.080349	-0.935209	0.080895	-0.131258	-0.877977	0.092505	-0.167429	-0.778305	0.043154	-0.058161	-0.748951	0.049575	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.109269	0.014978	0.405743	0.107570	0.004355	0.350911	
27	0.164631	-0.936580	0.081254	0.210621	-0.877325	0.094427	0.231311	-0.774970	0.046828	-0.080335	-0.935202	0.080819	-0.131372	-0.877983	0.092456	-0.167498	-0.778291	0.043174	-0.058224	-0.748889	0.049481	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112321	0.015283	0.406659	0.106044	0.004050	0.350605	
28	0.164665	-0.936559	0.081323	0.210496	-0.877279	0.094369	0.231072	-0.775112	0.046636	-0.080394	-0.935138	0.080886	-0.131325	-0.877775	0.092352	-0.167559	-0.778147	0.043161	-0.058288	-0.748865	0.049384	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113847	0.011621	0.405743	0.106044	0.004355	0.349385	
29	0.164703	-0.936525	0.081437	0.210278	-0.877183	0.094241	0.231202	-0.774864	0.046578	-0.080439	-0.935107	0.081025	-0.131168	-0.877402	0.092175	-0.167510	-0.777968	0.043030	-0.058296	-0.748789	0.049308	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.108659	0.012842	0.406049	0.106960	0.004966	0.350605	
30	0.164698	-0.936494	0.081502	0.210356	-0.877030	0.094216	0.231291	-0.774713	0.046474	-0.080436	-0.935092	0.081088	-0.130931	-0.877113	0.091997	-0.167465	-0.777875	0.042935	-0.058296	-0.748648	0.049209	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.109879	0.015894	0.406354	0.107875	0.005271	0.349690	
31	0.164670	-0.936484	0.081491	0.210366	-0.876930	0.094157	0.231354	-0.774722	0.046599	-0.080398	-0.935075	0.081067	-0.130892	-0.877247	0.092063	-0.167520	-0.777921	0.042953	-0.058292	-0.748550	0.049169	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113847	0.014978	0.406354	0.105434	0.004355	0.348164	
32	0.164636	-0.936506	0.081451	0.210507	-0.876980	0.094218	0.231541	-0.774608	0.046824	-0.080359	-0.935171	0.080995	-0.130991	-0.877540	0.092216	-0.167487	-0.778083	0.043026	-0.058163	-0.748689	0.049352	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111711	0.014673	0.406354	0.106349	0.003745	0.348774	
33	0.164669	-0.936514	0.081398	0.210751	-0.877047	0.094315	0.231502	-0.774738	0.046914	-0.080307	-0.935208	0.080911	-0.131089	-0.877806	0.092375	-0.167470	-0.778239	0.043112	-0.058142	-0.748850	0.049516	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.108659	0.015283	0.407269	0.107875	0.004966	0.347859	
34	0.164668	-0.936521	0.081363	0.210532	-0.877181	0.094340	0.231497	-0.774814	0.046954	-0.080339	-0.935175	0.080937	-0.131257	-0.877903	0.092477	-0.167516	-0.778290	0.043218	-0.058162	-0.748990	0.049557	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112321	0.014673	0.407269	0.106044	0.005576	0.348164	
35	0.164702	-0.936525	0.081396	0.210307	-0.877287	0.094355	0.231309	-0.774976	0.046835	-0.080400	-0.935141	0.080957	-0.131366	-0.877834	0.092424	-0.167503	-0.778232	0.043189	-0.058224	-0.748966	0.049487	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113847	0.015283	0.408185	0.105434	0.005576	0.346943	
36	0.164692	-0.936499	0.081425	0.210358	-0.877235	0.094301	0.231135	-0.775064	0.046642	-0.080408	-0.935139	0.080985	-0.131269	-0.877568	0.092294	-0.167520	-0.778092	0.043132	-0.058299	-0.748859	0.049405	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.110490	0.018640	0.408490	0.105434	0.005271	0.347249	
37	0.164647	-0.936463	0.081438	0.210357	-0.877139	0.094228	0.231185	-0.774938	0.046592	-0.080419	-0.935114	0.081009	-0.131070	-0.877316	0.092163	-0.167507	-0.777968	0.043101	-0.058267	-0.748778	0.049250	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112016	0.015588	0.408185	0.106349	0.005271	0.346943	
38	0.164674	-0.936493	0.081439	0.210330	-0.877078	0.094128	0.231180	-0.774862	0.046432	-0.080373	-0.935092	0.080958	-0.130977	-0.877325	0.092098	-0.167480	-0.777920	0.043009	-0.058253	-0.748684	0.049146	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.114457	0.013147	0.409406	0.106044	0.006797	0.346028	
39	0.164673	-0.936528	0.081367	0.210528	-0.877007	0.094086	0.231384	-0.774743	0.046509	-0.080342	-0.935139	0.080887	-0.130957	-0.877423	0.092096	-0.167490	-0.778020	0.042948	-0.058252	-0.748629	0.049241	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.111711	0.017114	0.410016	0.106655	0.007102	0.346028	
40	0.164670	-0.936520	0.081319	0.210794	-0.876980	0.094150	0.231539	-0.774671	0.046778	-0.080333	-0.935187	0.080859	-0.131043	-0.877662	0.092223	-0.167471	-0.778165	0.042992	-0.058161	-0.748746	0.049365	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.112016	0.015894	0.411847	0.105739	0.004966	0.346333	
41	0.164701	-0.936515	0.081330	0.210733	-0.877140	0.094268	0.231479	-0.774761	0.046822	-0.080347	-0.935193	0.080934	-0.131137	-0.877817	0.092366	-0.167436	-0.778247	0.043090	-0.058171	-0.748924	0.049484	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.115678	0.014673	0.413068	0.105129	0.006186	0.345723	
42	0.164726	-0.936539	0.081398	0.210582	-0.877261	0.094375	0.231351	-0.774910	0.046819	-0.080406	-0.935121	0.081004	-0.131267	-0.877769	0.092446	-0.167513	-0.778212	0.043215	-0.058199	-0.748947	0.049522	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113236	0.016199	0.414594	0.105129	0.006797	0.345417	
43	0.164754	-0.936554	0.081458	0.210341	-0.877281	0.094324	0.231173	-0.775057	0.046739	-0.080395	-0.935127	0.081043	-0.131304	-0.877712	0.092414	-0.167526	-0.778109	0.043228	-0.058256	-0.748945	0.049441	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.113236	0.015283	0.415204	0.105434	0.005576	0.345112	
44	0.164753	-0.936561	0.081443	0.210392	-0.877253	0.094270	0.231281	-0.774992	0.046690	-0.080402	-0.935087	0.081047	-0.131230	-0.877642	0.092316	-0.167493	-0.778054	0.043173	-0.058312	-0.748776	0.049368	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.116593	0.014368	0.417035	0.105129	0.006797	0.343281	
45	0.164765	-0.936540	0.081371	0.210562	-0.877152	0.094202	0.231261	-0.774933	0.046485	-0.080411	-0.935096	0.081027	-0.131099	-0.877438	0.092198	-0.167448	-0.778001	0.043074	-0.058231	-0.748761	0.049301	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.115373	0.014978	0.418561	0.103298	0.005576	0.341755	
46	0.164747	-0.936527	0.081305	0.210817	-0.877122	0.094159	0.231389	-0.774782	0.046498	-0.080332	-0.935166	0.080949	-0.130977	-0.877412	0.092139	-0.167433	-0.778011	0.042954	-0.058155	-0.748800	0.049250	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.116593	0.016199	0.419782	0.103908	0.007102	0.339314	
47	0.164727	-0.936557	0.081266	0.210798	-0.877115	0.094084	0.231556	-0.774681	0.046649	-0.080343	-0.935175	0.080911	-0.130984	-0.877488	0.092184	-0.167484	-0.778080	0.042957	-0.058234	-0.748746	0.049327	0.000000	0.612000	0.000000	0.000000	0.632000	0.592000	0.000000	0.000000	-0.118424	0.014062	0.420697	0.103603	0.006797	0.337788	
