RL	// User ID
2-11-2022	// Evaluation date
VisualFB_ER_22_Retention5min	2-11-2022	18:12:16:659	// Source file name and timestamp
100.000	// Sampling rate
35.164	// Data capture period

0.020000	// MOE
0.596000	// BslLeft
0.621000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.102439	-0.697757	0.072437	0.159882	-0.652750	0.093755	0.197403	-0.554513	0.040914	-0.112161	-0.707282	0.073372	-0.159127	-0.658610	0.094409	-0.185498	-0.552587	0.041893	-0.090777	-0.524861	0.045705	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.067728	0.006936	0.228717	0.061205	-0.011119	0.206245	
1	0.102390	-0.697758	0.072491	0.159957	-0.652765	0.093880	0.197450	-0.554603	0.041069	-0.112188	-0.707257	0.073392	-0.159124	-0.658573	0.094530	-0.185600	-0.552639	0.041985	-0.090709	-0.524922	0.045779	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.068033	0.004495	0.228106	0.062120	-0.012035	0.206855	
2	0.102418	-0.697757	0.072574	0.159977	-0.652855	0.094007	0.197465	-0.554675	0.041245	-0.112132	-0.707276	0.073432	-0.159160	-0.658654	0.094690	-0.185662	-0.552793	0.042203	-0.090643	-0.525024	0.045937	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.067118	0.006631	0.228106	0.060594	-0.013866	0.205940	
3	0.102398	-0.697765	0.072639	0.159932	-0.652880	0.094125	0.197466	-0.554675	0.041341	-0.112096	-0.707330	0.073503	-0.159276	-0.658841	0.094855	-0.185696	-0.552902	0.042390	-0.090684	-0.525097	0.046062	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.068033	0.007852	0.227191	0.059984	-0.011424	0.206855	
4	0.102379	-0.697803	0.072658	0.159948	-0.652867	0.094189	0.197443	-0.554714	0.041347	-0.112329	-0.707069	0.073413	-0.159294	-0.658780	0.094883	-0.185719	-0.552932	0.042386	-0.090707	-0.525118	0.046097	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.068338	0.005105	0.226581	0.061510	-0.012950	0.206855	
5	0.102529	-0.697553	0.072474	0.160126	-0.652822	0.094145	0.197550	-0.554545	0.041370	-0.112138	-0.707275	0.073491	-0.159251	-0.658588	0.094697	-0.185710	-0.552816	0.042234	-0.090724	-0.524974	0.045926	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.067118	0.004495	0.227191	0.061510	-0.013866	0.208076	
6	0.102633	-0.697283	0.072267	0.159804	-0.652747	0.093959	0.197701	-0.554382	0.041324	-0.112027	-0.707416	0.073498	-0.159180	-0.658517	0.094525	-0.185608	-0.552659	0.042056	-0.090722	-0.524853	0.045733	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.066202	0.007546	0.226581	0.059679	-0.014171	0.208076	
7	0.102536	-0.697513	0.072337	0.159332	-0.652713	0.093771	0.197733	-0.554376	0.041207	-0.112019	-0.707462	0.073440	-0.159101	-0.658530	0.094415	-0.185500	-0.552573	0.041920	-0.090719	-0.524874	0.045698	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.068033	0.005410	0.225970	0.060900	-0.015392	0.207771	
8	0.102446	-0.697697	0.072428	0.159632	-0.652706	0.093788	0.197571	-0.554502	0.041034	-0.112154	-0.707297	0.073302	-0.159083	-0.658643	0.094406	-0.185509	-0.552590	0.041872	-0.090705	-0.524955	0.045703	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.066507	0.004495	0.226275	0.061815	-0.012035	0.208991	
9	0.102469	-0.697696	0.072432	0.159820	-0.652757	0.093878	0.197426	-0.554688	0.041028	-0.112304	-0.707128	0.073252	-0.159151	-0.658774	0.094520	-0.185570	-0.552702	0.041955	-0.090685	-0.524951	0.045741	0.000000	0.596000	0.000000	0.000000	0.616000	0.576000	0.000000	0.000000	-0.065287	0.004189	0.225360	0.060289	-0.013255	0.208991	
