RL	// User ID
1-11-2022	// Evaluation date
RewardFB_ER_21_Retention5min	1-11-2022	16:49:55:298	// Source file name and timestamp
100.000	// Sampling rate
37.974	// Data capture period

0.020000	// MOE
0.633000	// BslLeft
0.610000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.119007	-0.704734	0.083033	0.167164	-0.651540	0.107622	0.207250	-0.545399	0.050228	-0.084059	-0.704211	0.081895	-0.128418	-0.645654	0.096304	-0.154579	-0.538350	0.045775	-0.058791	-0.503647	0.053792	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.104183	-0.003019	0.385033	0.096393	-0.005422	0.366993	
1	0.118996	-0.704747	0.083110	0.167186	-0.651454	0.107718	0.207388	-0.545322	0.050410	-0.083999	-0.704154	0.081990	-0.128472	-0.645653	0.096427	-0.154648	-0.538396	0.045984	-0.058759	-0.503689	0.053836	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.102657	-0.005461	0.385033	0.098224	-0.009084	0.366382	
2	0.118984	-0.704812	0.083217	0.167400	-0.651524	0.107864	0.207530	-0.545358	0.050787	-0.084010	-0.704200	0.082010	-0.128525	-0.645923	0.096723	-0.154705	-0.538397	0.046108	-0.058608	-0.503771	0.054082	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.099911	-0.011870	0.383507	0.098530	-0.008169	0.366077	
3	0.118935	-0.704881	0.083245	0.167527	-0.651615	0.107961	0.207580	-0.545447	0.050951	-0.084039	-0.704213	0.081949	-0.128567	-0.646175	0.096934	-0.154891	-0.538829	0.046308	-0.058589	-0.503894	0.054443	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.100216	-0.010649	0.383812	0.096699	-0.006032	0.366993	
4	0.118908	-0.704921	0.083166	0.167545	-0.651724	0.107969	0.207530	-0.545616	0.050962	-0.084056	-0.704263	0.081828	-0.128595	-0.646384	0.096935	-0.155070	-0.539216	0.046413	-0.058664	-0.504015	0.054648	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.102657	-0.008207	0.383202	0.097309	-0.008474	0.366077	
5	0.118871	-0.704935	0.083079	0.167677	-0.651797	0.107919	0.207500	-0.545655	0.050829	-0.084041	-0.704326	0.081673	-0.128564	-0.646419	0.096737	-0.155050	-0.539321	0.046267	-0.058605	-0.503963	0.054561	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.101742	-0.008207	0.383507	0.099750	-0.010305	0.366382	
6	0.118954	-0.704900	0.082977	0.167664	-0.651713	0.107692	0.207581	-0.545580	0.050671	-0.084028	-0.704332	0.081592	-0.128522	-0.646306	0.096462	-0.154840	-0.539007	0.045944	-0.058661	-0.503914	0.054273	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.099300	-0.009428	0.384727	0.097309	-0.010000	0.366382	
7	0.118993	-0.704854	0.082965	0.166978	-0.651724	0.107566	0.207318	-0.545518	0.050263	-0.084001	-0.704340	0.081616	-0.128387	-0.646085	0.096172	-0.154652	-0.538749	0.045802	-0.058743	-0.503740	0.054019	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.101436	-0.008818	0.383202	0.096088	-0.009389	0.365467	
8	0.119017	-0.704841	0.083087	0.167160	-0.651575	0.107572	0.207251	-0.545403	0.050124	-0.083953	-0.704363	0.081671	-0.128356	-0.645918	0.096166	-0.154517	-0.538445	0.045819	-0.058674	-0.503768	0.053951	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.100826	-0.005766	0.383202	0.098530	-0.012136	0.364246	
9	0.118942	-0.704876	0.083153	0.166944	-0.651591	0.107748	0.207458	-0.545296	0.050534	-0.083997	-0.704337	0.081785	-0.128397	-0.645907	0.096310	-0.154552	-0.538371	0.045962	-0.058652	-0.503729	0.054034	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.101436	-0.008513	0.381065	0.096088	-0.013357	0.362720	
10	0.118926	-0.704887	0.083242	0.167182	-0.651526	0.107900	0.207558	-0.545347	0.050876	-0.083978	-0.704317	0.081888	-0.128505	-0.646103	0.096652	-0.154678	-0.538477	0.046154	-0.058599	-0.503854	0.054340	0.000000	0.633000	0.000000	0.000000	0.653000	0.613000	0.000000	0.000000	-0.100216	-0.013090	0.381371	0.094562	-0.009695	0.363636	
